"datetime","open","high","low","close","numEvents","volume","value"
2017-01-06 09:31:00,226.53,226.665,226.41,226.45,1734,630972,142947872
2017-01-06 09:32:00,226.4485,226.49,226.24,226.37,1608,403651,91371200
2017-01-06 09:33:00,226.37,226.42,226.31,226.32,775,212801,48173056
2017-01-06 09:34:00,226.33,226.37,226.26,226.36,606,144310,32659398
2017-01-06 09:35:00,226.365,226.37,226.13,226.14,847,250568,56696996
2017-01-06 09:36:00,226.15,226.19,225.93,226.01,1250,317601,71789240
2017-01-06 09:37:00,226.01,226.08,225.9,225.9179,744,173977,39322008
2017-01-06 09:38:00,225.92,226.01,225.9,225.93,1054,260461,58855132
2017-01-06 09:39:00,225.92,226,225.91,225.97,365,90721,20498406
2017-01-06 09:40:00,225.98,226.08,225.97,226.08,429,90251,20400022
2017-01-06 09:41:00,226.08,226.11,226.04,226.09,433,92346,20878186
2017-01-06 09:42:00,226.11,226.18,226.09,226.1725,432,117053,26468288
2017-01-06 09:43:00,226.175,226.24,226.17,226.1725,672,176453,39915076
2017-01-06 09:44:00,226.17,226.285,226.1389,226.145,767,184255,41678684
2017-01-06 09:45:00,226.14,226.18,226.11,226.13,469,108553,24547698
2017-01-06 09:46:00,226.14,226.2,226.0701,226.18,454,100797,22793058
2017-01-06 09:47:00,226.18,226.189,226.13,226.14,259,59178,13383742
2017-01-06 09:48:00,226.15,226.23,226.12,226.12,506,128099,28973420
2017-01-06 09:49:00,226.13,226.19,226.1,226.12,490,108431,24521138
2017-01-06 09:50:00,226.13,226.13,225.92,226.0239,1194,304445,68803488
2017-01-06 09:51:00,226.02,226.24,226.02,226.22,820,238397,53912216
2017-01-06 09:52:00,226.22,226.25,226.15,226.23,553,224216,50720432
2017-01-06 09:53:00,226.23,226.26,226.19,226.21,617,498383,112748760
2017-01-06 09:54:00,226.22,226.22,226.13,226.14,377,71425,16154285
2017-01-06 09:55:00,226.15,226.18,226.11,226.12,372,81935,18528898
2017-01-06 09:56:00,226.12,226.19,226.12,226.16,355,88572,20032328
2017-01-06 09:57:00,226.17,226.26,226.16,226.21,483,93050,21048028
2017-01-06 09:58:00,226.22,226.25,226.19,226.25,304,73448,16616325
2017-01-06 09:59:00,226.24,226.39,226.24,226.385,473,114489,25912960
2017-01-06 10:00:00,226.38,226.4484,226.37,226.3846,467,125260,28361024
2017-01-06 10:01:00,226.39,226.44,226.34,226.43,365,110065,24915440
2017-01-06 10:02:00,226.43,226.5,226.38,226.4,704,206181,46689496
2017-01-06 10:03:00,226.4,226.44,226.38,226.39,358,83623,18932632
2017-01-06 10:04:00,226.408,226.48,226.4025,226.46,356,90935,20591584
2017-01-06 10:05:00,226.46,226.56,226.44,226.56,739,172475,39062932
2017-01-06 10:06:00,226.56,226.63,226.56,226.59,896,215456,48820980
2017-01-06 10:07:00,226.59,226.635,226.57,226.63,662,203172,46040328
2017-01-06 10:08:00,226.63,226.6644,226.63,226.64,465,121971,27644960
2017-01-06 10:09:00,226.64,226.65,226.57,226.58,388,87618,19854652
2017-01-06 10:10:00,226.5842,226.61,226.56,226.58,362,85094,19280900
2017-01-06 10:11:00,226.58,226.59,226.48,226.53,442,112866,25566976
2017-01-06 10:12:00,226.53,226.5861,226.53,226.5777,401,77057,17457740
2017-01-06 10:13:00,226.58,226.61,226.56,226.6,329,69646,15780557
2017-01-06 10:14:00,226.61,226.61,226.47,226.5,456,90847,20581282
2017-01-06 10:15:00,226.49,226.51,226.46,226.46,536,139361,31562668
2017-01-06 10:16:00,226.45,226.51,226.44,226.51,259,61322,13887725
2017-01-06 10:17:00,226.5047,226.54,226.46,226.4663,278,67432,15272801
2017-01-06 10:18:00,226.47,226.48,226.395,226.41,218,64057,14503666
2017-01-06 10:19:00,226.4,226.46,226.4,226.4599,202,41876,9482121
2017-01-06 10:20:00,226.45,226.48,226.43,226.45,188,34022,7704327.5
2017-01-06 10:21:00,226.45,226.5,226.44,226.5,139,25344,5739684
2017-01-06 10:22:00,226.49,226.53,226.49,226.53,198,48673,11025197
2017-01-06 10:23:00,226.5233,226.53,226.485,226.5067,364,61340,13894001
2017-01-06 10:24:00,226.51,226.52,226.46,226.52,624,165061,37383188
2017-01-06 10:25:00,226.52,226.53,226.46,226.46,246,54071,12246868
2017-01-06 10:26:00,226.465,226.465,226.39,226.44,451,131054,29673382
2017-01-06 10:27:00,226.45,226.5,226.45,226.49,233,47097,10666170
2017-01-06 10:28:00,226.4838,226.5,226.46,226.47,168,34166,7737869
2017-01-06 10:29:00,226.47,226.5,226.46,226.5,315,81017,18348466
2017-01-06 10:30:00,226.5,226.53,226.47,226.51,323,58637,13281133
2017-01-06 10:31:00,226.51,226.51,226.408,226.41,279,54335,12304158
2017-01-06 10:32:00,226.415,226.415,226.36,226.375,543,225848,51127336
2017-01-06 10:33:00,226.37,226.37,226.28,226.315,628,176319,39901156
2017-01-06 10:34:00,226.32,226.38,226.31,226.33,356,82658,18709240
2017-01-06 10:35:00,226.34,226.36,226.33,226.34,474,112772,25525318
2017-01-06 10:36:00,226.35,226.35,226.27,226.35,888,231544,52399364
2017-01-06 10:37:00,226.34,226.345,226.3,226.3,269,78812,17836314
2017-01-06 10:38:00,226.3,226.3,226.25,226.25,299,80293,18168238
2017-01-06 10:39:00,226.26,226.26,226.19,226.22,636,133103,30110908
2017-01-06 10:40:00,226.22,226.27,226.17,226.26,611,163889,37077024
2017-01-06 10:41:00,226.2599,226.3,226.25,226.3,202,39975,9045476
2017-01-06 10:42:00,226.2989,226.36,226.285,226.359,518,106897,24192188
2017-01-06 10:43:00,226.35,226.38,226.34,226.35,288,74198,16795520
2017-01-06 10:44:00,226.34,226.36,226.31,226.3267,137,38701,8759389
2017-01-06 10:45:00,226.325,226.4,226.325,226.38,234,56488,12787397
2017-01-06 10:46:00,226.38,226.42,226.365,226.4,257,55013,12454454
2017-01-06 10:47:00,226.395,226.42,226.38,226.415,383,96494,21845172
2017-01-06 10:48:00,226.42,226.47,226.42,226.435,388,104217,23599546
2017-01-06 10:49:00,226.43,226.435,226.4,226.41,358,69596,15757955
2017-01-06 10:50:00,226.41,226.46,226.4,226.459,267,73668,16680466
2017-01-06 10:51:00,226.46,226.48,226.44,226.445,368,93674,21213480
2017-01-06 10:52:00,226.44,226.44,226.39,226.41,240,74339,16831934
2017-01-06 10:53:00,226.405,226.41,226.38,226.39,222,44191,10004465
2017-01-06 10:54:00,226.39,226.48,226.38,226.475,270,54919,12435230
2017-01-06 10:55:00,226.48,226.65,226.47,226.64,969,271834,61589152
2017-01-06 10:56:00,226.635,226.7,226.63,226.6901,1061,358655,81292816
2017-01-06 10:57:00,226.695,226.725,226.6205,226.68,908,267665,60676564
2017-01-06 10:58:00,226.67,226.67,226.625,226.65,349,72125,16346378
2017-01-06 10:59:00,226.65,226.655,226.59,226.595,202,57843,13108835
2017-01-06 11:00:00,226.595,226.61,226.54,226.6,751,170109,38542008
2017-01-06 11:01:00,226.605,226.635,226.6,226.63,208,41181,9332380
2017-01-06 11:02:00,226.6274,226.63,226.53,226.537,750,190796,43231508
2017-01-06 11:03:00,226.54,226.64,226.54,226.64,382,77512,17562928
2017-01-06 11:04:00,226.6362,226.65,226.61,226.64,321,73752,16714170
2017-01-06 11:05:00,226.64,226.67,226.62,226.63,472,112680,25538380
2017-01-06 11:06:00,226.63,226.639,226.6034,226.63,310,68244,15465648
2017-01-06 11:07:00,226.63,226.64,226.55,226.5589,308,53209,12057868
2017-01-06 11:08:00,226.555,226.58,226.54,226.56,301,58195,13184368
2017-01-06 11:09:00,226.57,226.62,226.57,226.59,189,41369,9374118
2017-01-06 11:10:00,226.6,226.6,226.56,226.57,159,24983,5660651
2017-01-06 11:11:00,226.56,226.6,226.55,226.59,270,56595,12823454
2017-01-06 11:12:00,226.59,226.62,226.58,226.5865,201,39019,8841762
2017-01-06 11:13:00,226.59,226.61,226.58,226.61,225,51414,11650074
2017-01-06 11:14:00,226.61,226.64,226.6,226.64,199,30455,6901688.5
2017-01-06 11:15:00,226.6475,226.77,226.635,226.76,616,207056,46943996
2017-01-06 11:16:00,226.76,226.82,226.73,226.81,1182,305639,69312112
2017-01-06 11:17:00,226.8099,226.85,226.77,226.85,390,103167,23399884
2017-01-06 11:18:00,226.847,226.847,226.74,226.78,397,91873,20834866
2017-01-06 11:19:00,226.781,226.816,226.77,226.78,326,70412,15968657
2017-01-06 11:20:00,226.775,226.78,226.73,226.74,610,180595,40949408
2017-01-06 11:21:00,226.74,226.78,226.74,226.745,614,141758,32144870
2017-01-06 11:22:00,226.745,226.79,226.745,226.77,247,63389,14374231
2017-01-06 11:23:00,226.77,226.82,226.77,226.8,354,81677,18524310
2017-01-06 11:24:00,226.805,226.84,226.8,226.84,215,41029,9305837
2017-01-06 11:25:00,226.8395,226.89,226.8,226.84,1028,269623,61165592
2017-01-06 11:26:00,226.845,226.9,226.84,226.845,353,84184,19099028
2017-01-06 11:27:00,226.84,226.855,226.81,226.85,288,68257,15482755
2017-01-06 11:28:00,226.84,226.86,226.815,226.86,174,33757,7657301
2017-01-06 11:29:00,226.86,227.01,226.86,226.97,909,273692,62114004
2017-01-06 11:30:00,226.98,227,226.94,226.98,460,118064,26797076
2017-01-06 11:31:00,226.99,227.025,226.98,227,530,129873,29481770
2017-01-06 11:32:00,227,227.015,226.95,226.95,616,153560,34855988
2017-01-06 11:33:00,226.95,227.03,226.95,226.99,792,179001,40630292
2017-01-06 11:34:00,226.9995,227.05,226.97,227.04,365,88671,20129096
2017-01-06 11:35:00,227.04,227.05,227.01,227.04,350,100465,22808996
2017-01-06 11:36:00,227.04,227.0403,226.96,226.97,522,154826,35143556
2017-01-06 11:37:00,226.9739,227.04,226.97,227,322,108223,24567028
2017-01-06 11:38:00,227.01,227.01,226.92,226.945,313,67382,15292603
2017-01-06 11:39:00,226.945,227.0137,226.94,227,330,85199,19338020
2017-01-06 11:40:00,226.99,227.04,226.97,227.04,304,64969,14747997
2017-01-06 11:41:00,227.03,227.1,227.03,227.08,417,120082,27267868
2017-01-06 11:42:00,227.08,227.2059,227.08,227.2,629,205951,46779900
2017-01-06 11:43:00,227.205,227.23,227.17,227.18,837,188465,42818352
2017-01-06 11:44:00,227.18,227.21,227.15,227.21,504,207185,47066008
2017-01-06 11:45:00,227.21,227.23,227.17,227.225,342,86323,19613394
2017-01-06 11:46:00,227.23,227.24,227.21,227.2156,544,116118,26385140
2017-01-06 11:47:00,227.215,227.24,227.21,227.235,246,163460,37141600
2017-01-06 11:48:00,227.24,227.26,227.2199,227.244,296,67518,15342856
2017-01-06 11:49:00,227.24,227.29,227.24,227.28,288,86558,19671694
2017-01-06 11:50:00,227.28,227.33,227.26,227.29,471,161922,36803180
