"datetime","open","high","low","close","numEvents","volume","value"
2017-01-09 09:31:00,75.39,75.46,75.16,75.19,963,229547,17290810
2017-01-09 09:32:00,75.19,75.26,75.16,75.2,632,111531,8387880.5
2017-01-09 09:33:00,75.2,75.28,75.18,75.25,753,132480,9968254
2017-01-09 09:34:00,75.25,75.25,75.135,75.17,496,87193,6555763
2017-01-09 09:35:00,75.16,75.2,75.14,75.19,649,139200,10463562
2017-01-09 09:36:00,75.18,75.23,75.13,75.14,551,104938,7888079
2017-01-09 09:37:00,75.13,75.16,75.115,75.12,178,28144,2114642.5
2017-01-09 09:38:00,75.13,75.15,75.07,75.1,470,85528,6424440.5
2017-01-09 09:39:00,75.1,75.165,75.08,75.12,461,100264,7531470.5
2017-01-09 09:40:00,75.13,75.17,75.09,75.14,621,113749,8545249
2017-01-09 09:41:00,75.13,75.13,75.03,75.05,474,80701,6059642
2017-01-09 09:42:00,75.05,75.085,75,75,396,62370,4680726
2017-01-09 09:43:00,75.01,75.01,74.91,74.92,443,89427,6704083
2017-01-09 09:44:00,74.92,74.95,74.89,74.91,373,79694,5971033
2017-01-09 09:45:00,74.91,74.92,74.87,74.9,675,117899,8830118
2017-01-09 09:46:00,74.91,74.91,74.865,74.87,283,49002,3669483.25
2017-01-09 09:47:00,74.87,74.9,74.8583,74.865,327,52536,3933720.5
2017-01-09 09:48:00,74.86,74.89,74.83,74.89,439,99039,7413648.5
2017-01-09 09:49:00,74.89,74.95,74.89,74.93,731,112788,8450635
2017-01-09 09:50:00,74.92,74.92,74.87,74.88,417,88396,6621629.5
2017-01-09 09:51:00,74.88,74.9,74.87,74.88,83,12480,934589.5
2017-01-09 09:52:00,74.88,74.94,74.88,74.935,176,26816,2009101.75
2017-01-09 09:53:00,74.93,74.94,74.89,74.9,239,42625,3193331.25
2017-01-09 09:54:00,74.9,74.92,74.88,74.92,198,26665,1997279.125
2017-01-09 09:55:00,74.92,74.93,74.9,74.925,251,36950,2768059
2017-01-09 09:56:00,74.93,74.96,74.92,74.95,344,55101,4129116.75
2017-01-09 09:57:00,74.95,75,74.95,74.98,466,65761,4930301
2017-01-09 09:58:00,74.972,74.99,74.97,74.97,75,11150,835988.25
2017-01-09 09:59:00,74.97,75,74.97,74.99,311,43737,3279653
2017-01-09 10:00:00,74.9864,75.02,74.97,75.02,197,28959,2171858.25
2017-01-09 10:01:00,75.02,75.05,75.01,75.05,207,29836,2238440.75
2017-01-09 10:02:00,75.05,75.05,75.02,75.05,155,29552,2217354.75
2017-01-09 10:03:00,75.05,75.07,75,75,111,18800,1410669.875
2017-01-09 10:04:00,75,75.005,74.98,74.99,250,40426,3031679.5
2017-01-09 10:05:00,74.99,75,74.97,74.98,142,16018,1201106.125
2017-01-09 10:06:00,74.985,74.99,74.935,74.935,84,13121,983708.4375
2017-01-09 10:07:00,74.94,74.96,74.93,74.93,160,22519,1687667.125
2017-01-09 10:08:00,74.93,74.945,74.915,74.93,61,8538,639756.5625
2017-01-09 10:09:00,74.93,74.96,74.92,74.94,203,29171,2185810.75
2017-01-09 10:10:00,74.935,74.97,74.92,74.95,204,34625,2594526.25
2017-01-09 10:11:00,74.955,74.96,74.9,74.9,123,17379,1302235.25
2017-01-09 10:12:00,74.9,74.94,74.89,74.92,97,22008,1648863.25
2017-01-09 10:13:00,74.93,74.96,74.93,74.94,108,13099,981698.0625
2017-01-09 10:14:00,74.95,74.98,74.95,74.98,78,9336,699896.125
2017-01-09 10:15:00,74.98,74.98,74.92,74.92,124,14984,1123122.5
2017-01-09 10:16:00,74.9267,74.9267,74.85,74.87,179,23636,1769770.625
2017-01-09 10:17:00,74.87,74.92,74.87,74.9,150,20053,1501880.625
2017-01-09 10:18:00,74.9,74.92,74.89,74.92,66,10047,752588.875
2017-01-09 10:19:00,74.91,74.9199,74.87,74.88,122,14553,1089825.625
2017-01-09 10:20:00,74.88,74.88,74.81,74.84,280,38415,2874683
2017-01-09 10:21:00,74.83,74.87,74.83,74.8543,369,54589,4086224.25
2017-01-09 10:22:00,74.86,74.88,74.8515,74.88,114,15429,1155041
2017-01-09 10:23:00,74.88,74.88,74.85,74.853,76,9347,699682
2017-01-09 10:24:00,74.86,74.86,74.81,74.86,96,15473,1157767.625
2017-01-09 10:25:00,74.86,74.8632,74.84,74.8632,86,18659,1396691
2017-01-09 10:26:00,74.87,74.91,74.84,74.84,278,39629,2967364.5
2017-01-09 10:27:00,74.84,74.88,74.83,74.8732,201,26986,2019743.25
2017-01-09 10:28:00,74.88,74.88,74.835,74.85,300,42052,3147626.5
2017-01-09 10:29:00,74.86,74.88,74.85,74.87,158,22746,1702859.75
2017-01-09 10:30:00,74.86,74.87,74.835,74.84,157,18878,1412979.875
2017-01-09 10:31:00,74.84,74.9,74.83,74.87,145,20363,1524342.125
2017-01-09 10:32:00,74.86,74.92,74.85,74.92,107,15586,1167235.25
2017-01-09 10:33:00,74.91,74.92,74.88,74.89,127,17707,1326342.75
2017-01-09 10:34:00,74.89,74.96,74.89,74.935,163,20148,1509866.25
2017-01-09 10:35:00,74.94,74.975,74.94,74.974,311,48797,3657355.5
2017-01-09 10:36:00,74.98,74.99,74.92,74.93,124,15221,1141053.375
2017-01-09 10:37:00,74.93,74.97,74.93,74.95,79,9800,734540.375
2017-01-09 10:38:00,74.95,74.9701,74.935,74.97,82,10480,785520.5
2017-01-09 10:39:00,74.98,74.98,74.96,74.96,33,3978,298228.3125
2017-01-09 10:40:00,74.96,74.96,74.94,74.95,36,3867,289847.75
2017-01-09 10:41:00,74.94,74.965,74.94,74.9586,188,26013,1949667.875
2017-01-09 10:42:00,74.96,74.97,74.95,74.955,234,30515,2287358
2017-01-09 10:43:00,74.955,74.96,74.94,74.96,383,57600,4317300
2017-01-09 10:44:00,74.96,74.98,74.955,74.96,149,21472,1609723.75
2017-01-09 10:45:00,74.955,74.97,74.92,74.95,106,17328,1298520.5
2017-01-09 10:46:00,74.94,74.99,74.925,74.96,209,29769,2231625.75
2017-01-09 10:47:00,74.9617,74.99,74.955,74.99,66,7187,538813.9375
2017-01-09 10:48:00,74.99,75.03,74.9806,75.03,174,26459,1984192.125
2017-01-09 10:49:00,75.03,75.05,75.01,75.02,120,16907,1268503.875
2017-01-09 10:50:00,75.02,75.03,74.98,75,83,12200,914948.125
2017-01-09 10:51:00,75.0044,75.04,75.0044,75.03,48,5626,422097.1563
2017-01-09 10:52:00,75.03,75.0815,75.03,75.08,117,18544,1391833.75
2017-01-09 10:53:00,75.075,75.09,75.06,75.09,106,14710,1104289
2017-01-09 10:54:00,75.09,75.11,75.09,75.105,63,7332,550615.125
2017-01-09 10:55:00,75.1,75.12,75.08,75.12,107,15551,1167859.375
2017-01-09 10:56:00,75.14,75.185,75.14,75.18,114,21968,1650891.625
2017-01-09 10:57:00,75.185,75.2,75.17,75.2,158,22117,1662851.75
2017-01-09 10:58:00,75.2,75.215,75.18,75.21,158,23787,1788743.625
2017-01-09 10:59:00,75.21,75.25,75.21,75.25,202,38168,2871510
2017-01-09 11:00:00,75.255,75.255,75.2,75.21,187,27330,2055964.25
2017-01-09 11:01:00,75.2,75.22,75.19,75.22,79,11643,875594.8125
2017-01-09 11:02:00,75.22,75.25,75.22,75.2365,78,9960,749352.25
2017-01-09 11:03:00,75.2301,75.27,75.2301,75.27,68,7400,556887.375
2017-01-09 11:04:00,75.2601,75.27,75.25,75.25,54,15213,1144860.5
2017-01-09 11:05:00,75.26,75.26,75.175,75.19,167,26968,2027992
2017-01-09 11:06:00,75.19,75.23,75.19,75.22,128,16598,1248475.5
2017-01-09 11:07:00,75.23,75.25,75.21,75.22,68,9782,735911.0625
2017-01-09 11:08:00,75.21,75.24,75.21,75.24,51,7091,533408.875
2017-01-09 11:09:00,75.24,75.26,75.2163,75.26,69,10258,771804.375
2017-01-09 11:10:00,75.26,75.27,75.26,75.26,53,6100,459091.9688
2017-01-09 11:11:00,75.26,75.26,75.21,75.21,36,6500,489031
2017-01-09 11:12:00,75.21,75.22,75.14,75.14,224,34454,2590152.75
2017-01-09 11:13:00,75.13,75.13,75.085,75.0863,131,25415,1908806.5
2017-01-09 11:14:00,75.09,75.16,75.09,75.1349,194,27405,2058671.375
2017-01-09 11:15:00,75.13,75.135,75.11,75.13,126,21787,1636711
2017-01-09 11:16:00,75.13,75.13,75.09,75.095,116,29049,2181662.75
2017-01-09 11:17:00,75.09,75.11,75.08,75.1,152,31134,2337900.75
2017-01-09 11:18:00,75.1,75.11,75.08,75.103,184,41580,3122363.25
2017-01-09 11:19:00,75.11,75.12,75.08,75.084,199,45359,3406508
2017-01-09 11:20:00,75.0865,75.1,75.0735,75.09,129,21694,1628948.375
2017-01-09 11:21:00,75.08,75.096,75.06,75.07,200,33619,2523973.25
2017-01-09 11:22:00,75.07,75.07,75.0301,75.045,189,28990,2175711.5
2017-01-09 11:23:00,75.06,75.06,75.035,75.039,118,19386,1454865.5
2017-01-09 11:24:00,75.0375,75.05,75.01,75.01,207,45107,3384428.5
2017-01-09 11:25:00,75.02,75.04,74.98,74.99,162,31192,2339593.5
2017-01-09 11:26:00,74.99,75,74.95,74.95,220,45197,3388869
2017-01-09 11:27:00,74.95,74.96,74.94,74.95,151,27554,2065171.375
2017-01-09 11:28:00,74.95,74.965,74.94,74.96,90,14316,1072969
2017-01-09 11:29:00,74.967,74.99,74.96,74.98,108,13809,1035313.8125
2017-01-09 11:30:00,74.99,75.0683,74.99,75.0441,116,19279,1446321.375
2017-01-09 11:31:00,75.04,75.06,75.02,75.02,65,9680,726341.75
2017-01-09 11:32:00,75.02,75.045,75.02,75.03,55,6200,465181.625
2017-01-09 11:33:00,75.03,75.03,74.9587,74.97,99,17687,1326192.625
2017-01-09 11:34:00,74.97,74.989,74.95,74.96,383,70793,5306730
2017-01-09 11:35:00,74.96,74.96,74.94,74.955,142,22191,1663277.5
2017-01-09 11:36:00,74.96,74.98,74.95,74.98,320,65619,4919337.5
2017-01-09 11:37:00,74.98,74.99,74.96,74.98,235,41645,3122400.75
2017-01-09 11:38:00,74.975,74.98,74.948,74.948,79,11619,871019.625
2017-01-09 11:39:00,74.95,74.97,74.9463,74.9535,177,25970,1946749.75
2017-01-09 11:40:00,74.96,74.96,74.94,74.945,48,37557,2814637.25
2017-01-09 11:41:00,74.95,74.95,74.925,74.925,110,32745,2453775.75
2017-01-09 11:42:00,74.92,74.935,74.8976,74.9,92,17743,1329180.75
2017-01-09 11:43:00,74.9,74.91,74.88,74.895,171,23693,1774537.5
2017-01-09 11:44:00,74.895,74.9,74.86,74.86,159,22984,1721223
2017-01-09 11:45:00,74.8635,74.88,74.84,74.845,97,19390,1451690.125
2017-01-09 11:46:00,74.84,74.87,74.835,74.86,112,12992,972460
2017-01-09 11:47:00,74.86,74.89,74.86,74.889,55,10340,774224.5625
2017-01-09 11:48:00,74.88,74.914,74.88,74.91,68,7484,560516.6875
2017-01-09 11:49:00,74.915,74.915,74.87,74.88,74,12681,949679
2017-01-09 11:50:00,74.87,74.9,74.87,74.89,42,5170,387186.5938
2017-01-09 11:51:00,74.89,74.89,74.86,74.8763,46,6334,474256.9688
2017-01-09 11:52:00,74.8763,74.91,74.865,74.9,70,9671,724220.25
2017-01-09 11:53:00,74.89,74.89,74.8434,74.85,71,15758,1179742.5
2017-01-09 11:54:00,74.85,74.855,74.81,74.81,113,14713,1100932.75
2017-01-09 11:55:00,74.82,74.84,74.815,74.83,85,10727,802701.5625
2017-01-09 11:56:00,74.83,74.86,74.82,74.83,71,15453,1156532.375
2017-01-09 11:57:00,74.84,74.86,74.8341,74.85,52,6907,516990.5625
2017-01-09 11:58:00,74.85,74.85,74.82,74.8265,96,14715,1101115.375
2017-01-09 11:59:00,74.82,74.85,74.815,74.85,58,7400,553758.5625
2017-01-09 12:00:00,74.8541,74.87,74.8541,74.86,44,7662,573607.625
2017-01-09 12:01:00,74.86,74.86,74.83,74.84,128,18091,1353846.75
