"datetime","open","high","low","close","numEvents","volume","value"
2017-01-12 09:31:00,23.47,23.49,23.45,23.49,296,465909,10934839
2017-01-12 09:32:00,23.48,23.5,23.48,23.495,186,131418,3087237
2017-01-12 09:33:00,23.4999,23.5,23.47,23.47,206,126765,2976975.75
2017-01-12 09:34:00,23.47,23.5,23.465,23.465,180,118741,2788543.25
2017-01-12 09:35:00,23.47,23.48,23.4612,23.48,196,142556,3346278.25
2017-01-12 09:36:00,23.47,23.49,23.46,23.46,306,184187,4323751
2017-01-12 09:37:00,23.47,23.48,23.46,23.47,157,207318,4866173
2017-01-12 09:38:00,23.47,23.47,23.46,23.46,137,97280,2282764.75
2017-01-12 09:39:00,23.4599,23.4599,23.43,23.43,152,153933,3609343.5
2017-01-12 09:40:00,23.42,23.42,23.39,23.4,218,170753,3997041.75
2017-01-12 09:41:00,23.4,23.4,23.3634,23.37,206,246529,5763803.5
2017-01-12 09:42:00,23.36,23.4,23.36,23.4,140,97493,2280128.75
2017-01-12 09:43:00,23.4,23.42,23.385,23.41,296,202306,4734859.5
2017-01-12 09:44:00,23.41,23.4138,23.395,23.41,127,104510,2445965.5
2017-01-12 09:45:00,23.42,23.425,23.41,23.42,215,284805,6669883.5
2017-01-12 09:46:00,23.415,23.42,23.4,23.4042,86,61958,1450099.625
2017-01-12 09:47:00,23.4,23.4127,23.39,23.4127,180,141012,3300076.25
2017-01-12 09:48:00,23.419,23.44,23.4151,23.435,111,65782,1540961.5
2017-01-12 09:49:00,23.44,23.4456,23.4122,23.42,115,139253,3262072.5
2017-01-12 09:50:00,23.42,23.42,23.4104,23.42,234,114177,2673957.75
2017-01-12 09:51:00,23.42,23.42,23.38,23.3801,234,117689,2753875.5
2017-01-12 09:52:00,23.38,23.39,23.37,23.37,222,301747,7054527
2017-01-12 09:53:00,23.37,23.39,23.365,23.39,204,193767,4530370.5
2017-01-12 09:54:00,23.39,23.4,23.385,23.39,60,41514,971034
2017-01-12 09:55:00,23.3967,23.4,23.39,23.395,51,39967,935172.375
2017-01-12 09:56:00,23.39,23.4,23.37,23.38,106,89262,2087439.125
2017-01-12 09:57:00,23.38,23.38,23.365,23.37,61,78026,1823618.75
2017-01-12 09:58:00,23.365,23.376,23.36,23.37,98,147968,3457994.25
2017-01-12 09:59:00,23.37,23.375,23.3602,23.37,137,237799,5557317.5
2017-01-12 10:00:00,23.37,23.375,23.36,23.365,196,214279,5007681.5
2017-01-12 10:01:00,23.37,23.37,23.355,23.36,153,249183,5821411.5
2017-01-12 10:02:00,23.36,23.36,23.34,23.35,110,106066,2476744.5
2017-01-12 10:03:00,23.35,23.36,23.3258,23.3258,218,140455,3279032
2017-01-12 10:04:00,23.32,23.34,23.32,23.3338,144,144269,3365893.75
2017-01-12 10:05:00,23.335,23.335,23.305,23.305,150,171713,4003922
2017-01-12 10:06:00,23.305,23.31,23.26,23.28,504,975710,22722906
2017-01-12 10:07:00,23.28,23.295,23.27,23.27,473,824876,19207814
2017-01-12 10:08:00,23.27,23.285,23.25,23.2667,294,271897,6327131
2017-01-12 10:09:00,23.26,23.27,23.2505,23.2547,227,383596,8922809
2017-01-12 10:10:00,23.26,23.27,23.2505,23.265,164,102868,2392802.25
2017-01-12 10:11:00,23.27,23.2999,23.2664,23.2916,191,235278,5478041.5
2017-01-12 10:12:00,23.2977,23.3,23.28,23.2959,155,144205,3358485.75
2017-01-12 10:13:00,23.3,23.3069,23.27,23.28,728,1496558,34841568
2017-01-12 10:14:00,23.2857,23.29,23.28,23.2801,62,74299,1730069.625
2017-01-12 10:15:00,23.285,23.29,23.27,23.28,359,366824,8541032
2017-01-12 10:16:00,23.28,23.29,23.275,23.28,125,117212,2728757
2017-01-12 10:17:00,23.279,23.28,23.271,23.28,77,78995,1838957.875
2017-01-12 10:18:00,23.28,23.29,23.27,23.2759,291,259517,6041445
2017-01-12 10:19:00,23.2765,23.28,23.261,23.28,154,189259,4404929.5
2017-01-12 10:20:00,23.28,23.29,23.27,23.27,229,201873,4699741
2017-01-12 10:21:00,23.2667,23.27,23.25,23.265,140,99928,2324436.5
2017-01-12 10:22:00,23.26,23.27,23.25,23.26,152,87460,2034368.375
2017-01-12 10:23:00,23.2625,23.27,23.261,23.27,46,22549,524648.125
2017-01-12 10:24:00,23.2699,23.28,23.26,23.28,108,55403,1289239.625
2017-01-12 10:25:00,23.28,23.29,23.2759,23.2782,172,66645,1551526.75
2017-01-12 10:26:00,23.2716,23.29,23.2716,23.2899,369,589635,13727332
2017-01-12 10:27:00,23.285,23.2899,23.2716,23.2862,134,121587,2830546.75
2017-01-12 10:28:00,23.2814,23.29,23.27,23.28,222,123651,2878617
2017-01-12 10:29:00,23.28,23.295,23.2765,23.29,230,156379,3641777
2017-01-12 10:30:00,23.288,23.29,23.28,23.29,69,38279,891386.5625
2017-01-12 10:31:00,23.2835,23.2937,23.27,23.27,220,129203,3008808.25
2017-01-12 10:32:00,23.28,23.28,23.26,23.265,89,57356,1334572.125
2017-01-12 10:33:00,23.2659,23.27,23.2601,23.265,83,25973,604364.6875
2017-01-12 10:34:00,23.265,23.28,23.265,23.28,95,45178,1051392.125
2017-01-12 10:35:00,23.28,23.2866,23.275,23.28,129,57953,1349167.25
2017-01-12 10:36:00,23.28,23.28,23.26,23.265,116,76040,1769540.25
2017-01-12 10:37:00,23.26,23.2799,23.26,23.2799,62,28484,662822.3125
2017-01-12 10:38:00,23.2769,23.28,23.26,23.26,143,60206,1400958.25
