"datetime","open","high","low","close","numEvents","volume","value"
2017-01-20 09:31:00,63.41,63.45,63.35,63.41,410,107798,6835404
2017-01-20 09:32:00,63.4,63.43,63.39,63.42,493,125986,7988637.5
2017-01-20 09:33:00,63.425,63.44,63.39,63.42,335,84600,5364950.5
2017-01-20 09:34:00,63.42,63.42,63.37,63.39,458,128868,8170495
2017-01-20 09:35:00,63.39,63.42,63.36,63.4,208,53497,3391328
2017-01-20 09:36:00,63.4,63.45,63.4,63.45,459,144485,9164610
2017-01-20 09:37:00,63.445,63.48,63.42,63.4369,329,107451,6817749.5
2017-01-20 09:38:00,63.43,63.43,63.395,63.42,484,173004,10969614
2017-01-20 09:39:00,63.42,63.42,63.39,63.41,107,33595,2130198
2017-01-20 09:40:00,63.41,63.44,63.41,63.44,96,28515,1808612.875
2017-01-20 09:41:00,63.45,63.46,63.435,63.44,307,94613,6002979.5
2017-01-20 09:42:00,63.43,63.442,63.405,63.44,247,82267,5217535
2017-01-20 09:43:00,63.44,63.47,63.44,63.44,211,53724,3409089.5
2017-01-20 09:44:00,63.4401,63.475,63.44,63.45,109,27653,1754763.125
2017-01-20 09:45:00,63.45,63.45,63.42,63.43,73,12787,811224.1875
2017-01-20 09:46:00,63.43,63.43,63.4,63.4138,254,60632,3844815.5
2017-01-20 09:47:00,63.42,63.43,63.4,63.42,324,132877,8426366
2017-01-20 09:48:00,63.43,63.43,63.35,63.36,111,23376,1481138.75
2017-01-20 09:49:00,63.36,63.415,63.36,63.369,97,22042,1397132.375
2017-01-20 09:50:00,63.37,63.375,63.355,63.37,67,10599,671558.5625
2017-01-20 09:51:00,63.37,63.405,63.36,63.405,71,15002,950773.625
2017-01-20 09:52:00,63.4,63.4099,63.4,63.4,43,8893,563832.75
2017-01-20 09:53:00,63.405,63.405,63.35,63.37,91,19083,1209262.375
2017-01-20 09:54:00,63.365,63.45,63.365,63.42,288,82441,5229671
2017-01-20 09:55:00,63.4237,63.4237,63.39,63.39,32,7615,482836.2188
2017-01-20 09:56:00,63.39,63.455,63.39,63.455,160,44580,2827181.75
2017-01-20 09:57:00,63.46,63.51,63.455,63.4999,169,36063,2288983
2017-01-20 09:58:00,63.5,63.5,63.455,63.465,71,14297,907452.5625
2017-01-20 09:59:00,63.46,63.46,63.43,63.46,180,30511,1935877.875
2017-01-20 10:00:00,63.47,63.47,63.45,63.45,45,6648,421931.25
2017-01-20 10:01:00,63.46,63.48,63.45,63.46,303,75581,4796513
2017-01-20 10:02:00,63.47,63.47,63.42,63.42,79,14765,936740.125
2017-01-20 10:03:00,63.42,63.44,63.42,63.42,146,52355,3320728.75
2017-01-20 10:04:00,63.42,63.45,63.42,63.44,326,95847,6080544.5
2017-01-20 10:05:00,63.4301,63.45,63.42,63.42,38,7969,505535.75
2017-01-20 10:06:00,63.42,63.43,63.41,63.41,103,22136,1403973.75
2017-01-20 10:07:00,63.4099,63.41,63.395,63.41,46,9721,616316.375
2017-01-20 10:08:00,63.41,63.42,63.39,63.39,836,263230,16688737
2017-01-20 10:09:00,63.39,63.39,63.34,63.34,729,233302,14782133
2017-01-20 10:10:00,63.339,63.355,63.3365,63.35,145,60786,3850374.5
2017-01-20 10:11:00,63.36,63.38,63.36,63.38,157,34617,2193661.5
2017-01-20 10:12:00,63.39,63.41,63.39,63.4,59,20300,1287172.375
2017-01-20 10:13:00,63.39,63.4,63.385,63.395,53,10300,652921.5
2017-01-20 10:14:00,63.4,63.42,63.4,63.42,65,9400,596009.875
2017-01-20 10:15:00,63.42,63.425,63.37,63.37,75,16030,1016248.3125
2017-01-20 10:16:00,63.37,63.39,63.37,63.39,48,8760,555198.1875
2017-01-20 10:17:00,63.39,63.39,63.36,63.36,54,13942,883511.4375
2017-01-20 10:18:00,63.355,63.36,63.33,63.3367,33,5062,320642.875
2017-01-20 10:19:00,63.335,63.36,63.335,63.36,55,6184,391703.6875
2017-01-20 10:20:00,63.36,63.39,63.36,63.38,68,12981,822782.75
2017-01-20 10:21:00,63.38,63.38,63.37,63.37,45,7177,454818.7188
2017-01-20 10:22:00,63.37,63.3775,63.36,63.36,171,31590,2001777.75
2017-01-20 10:23:00,63.37,63.37,63.32,63.32,155,35728,2263520
2017-01-20 10:24:00,63.31,63.31,63.3,63.305,170,26750,1693377
2017-01-20 10:25:00,63.31,63.32,63.3,63.3,231,37950,2402652.75
2017-01-20 10:26:00,63.3042,63.31,63.29,63.29,117,23137,1464718.625
2017-01-20 10:27:00,63.29,63.3,63.27,63.29,111,18056,1142698.5
2017-01-20 10:28:00,63.285,63.285,63.255,63.265,63,11408,721745.125
2017-01-20 10:29:00,63.27,63.27,63.24,63.25,69,14936,944810.5
2017-01-20 10:30:00,63.24,63.275,63.23,63.275,102,18860,1192898.375
2017-01-20 10:31:00,63.2766,63.3,63.275,63.29,161,45055,2851600.25
2017-01-20 10:32:00,63.29,63.3,63.26,63.27,59,17201,1088551.5
2017-01-20 10:33:00,63.27,63.28,63.27,63.28,50,8242,521507.875
2017-01-20 10:34:00,63.28,63.29,63.27,63.28,82,27746,1755619.5
2017-01-20 10:35:00,63.29,63.315,63.2899,63.31,66,12999,822914.125
2017-01-20 10:36:00,63.31,63.33,63.31,63.32,359,82696,5236446
2017-01-20 10:37:00,63.315,63.32,63.305,63.315,62,10500,664764.5
2017-01-20 10:38:00,63.315,63.33,63.31,63.32,25,3400,215285.5
2017-01-20 10:39:00,63.32,63.325,63.3159,63.32,47,11201,709247.5625
2017-01-20 10:40:00,63.32,63.33,63.315,63.33,56,12953,820228.375
2017-01-20 10:41:00,63.325,63.33,63.305,63.33,174,35768,2264677
2017-01-20 10:42:00,63.34,63.35,63.33,63.339,72,11461,725903.9375
2017-01-20 10:43:00,63.33,63.3441,63.3253,63.34,49,7487,474198.625
2017-01-20 10:44:00,63.3353,63.349,63.3353,63.34,22,3056,193572.5625
2017-01-20 10:45:00,63.345,63.349,63.31,63.315,79,15900,1006981
2017-01-20 10:46:00,63.32,63.32,63.31,63.32,53,6500,411551
2017-01-20 10:47:00,63.32,63.32,63.3,63.3,43,6281,397643.4375
2017-01-20 10:48:00,63.3085,63.31,63.295,63.31,71,16125,1020778.75
2017-01-20 10:49:00,63.315,63.315,63.285,63.29,34,7847,496713.4688
2017-01-20 10:50:00,63.295,63.3,63.28,63.29,134,24508,1551067.875
2017-01-20 10:51:00,63.3,63.3,63.275,63.28,247,73179,4630936
