"datetime","open","high","low","close","numEvents","volume","value"
2017-01-19 09:31:00,49.6,49.62,49.51,49.61,84,55233,2739520.25
2017-01-19 09:32:00,49.61,49.61,49.58,49.6,88,13691,678960.875
2017-01-19 09:33:00,49.6,49.62,49.6,49.6053,35,9680,480181.3438
2017-01-19 09:34:00,49.6,49.625,49.6,49.62,61,18814,933396.0625
2017-01-19 09:35:00,49.61,49.62,49.61,49.62,95,21434,1063385.75
2017-01-19 09:36:00,49.63,49.66,49.6218,49.66,66,23461,1164642.25
2017-01-19 09:37:00,49.66,49.66,49.65,49.6501,62,16780,833140.3125
2017-01-19 09:38:00,49.66,49.66,49.64,49.65,254,129845,6446763.5
2017-01-19 09:39:00,49.65,49.68,49.65,49.67,85,31980,1588052.75
2017-01-19 09:40:00,49.67,49.69,49.66,49.68,84,20666,1026569.75
2017-01-19 09:41:00,49.68,49.72,49.68,49.72,43,12011,596873.375
2017-01-19 09:42:00,49.715,49.715,49.67,49.67,59,34600,1719247.5
2017-01-19 09:43:00,49.67,49.68,49.665,49.6775,76,21098,1048012
2017-01-19 09:44:00,49.68,49.685,49.675,49.68,38,12700,630894.5
2017-01-19 09:45:00,49.685,49.7,49.68,49.69,46,7844,389739.1875
2017-01-19 09:46:00,49.69,49.705,49.689,49.7,48,14996,745224.4375
2017-01-19 09:47:00,49.69,49.695,49.69,49.69,18,2500,124227.5
2017-01-19 09:48:00,49.7,49.73,49.7,49.72,51,15125,752090.4375
2017-01-19 09:49:00,49.73,49.74,49.71,49.7201,141,89634,4456463.5
2017-01-19 09:50:00,49.72,49.7258,49.7,49.715,70,20178,1003110.9375
2017-01-19 09:51:00,49.715,49.735,49.715,49.73,32,8913,443187.125
2017-01-19 09:52:00,49.73,49.74,49.73,49.74,33,5340,265573.2813
2017-01-19 09:53:00,49.74,49.75,49.74,49.75,19,34795,1730746.5
2017-01-19 09:54:00,49.74,49.745,49.72,49.7201,43,5604,278725.3125
2017-01-19 09:55:00,49.725,49.735,49.72,49.73,201,163042,8107770.5
