"datetime","open","high","low","close","numEvents","volume","value"
2017-01-10 09:31:00,48.18,48.2,48.1,48.16,571,118788,5721081
2017-01-10 09:32:00,48.16,48.19,48.12,48.14,563,138551,6670229
2017-01-10 09:33:00,48.14,48.16,48.11,48.11,252,56149,2702913.75
2017-01-10 09:34:00,48.11,48.12,48.07,48.08,250,42839,2060172.75
2017-01-10 09:35:00,48.08,48.085,48.05,48.08,341,81655,3924779
2017-01-10 09:36:00,48.08,48.09,47.86,47.92,1241,262735,12598982
2017-01-10 09:37:00,47.93,47.95,47.89,47.9,614,152890,7325716
2017-01-10 09:38:00,47.91,47.99,47.9059,47.95,338,86943,4169565.75
2017-01-10 09:39:00,47.95,47.98,47.94,47.97,172,50441,2418988.5
2017-01-10 09:40:00,47.98,48.03,47.98,48.01,307,71772,3445054.75
2017-01-10 09:41:00,48.01,48.06,48.01,48.05,283,68981,3313986.25
2017-01-10 09:42:00,48.05,48.08,48.03,48.06,456,121556,5841449.5
2017-01-10 09:43:00,48.06,48.06,48.025,48.04,339,118262,5682758
2017-01-10 09:44:00,48.03,48.04,48.005,48.025,110,20399,979706
2017-01-10 09:45:00,48.01,48.02,47.975,48.012,157,37866,1817485
2017-01-10 09:46:00,48.01,48.03,48.01,48.0298,107,20623,990249.875
2017-01-10 09:47:00,48.03,48.04,48.0201,48.04,26,3327,159794.6094
2017-01-10 09:48:00,48.0357,48.1,48.035,48.08,349,85963,4132723.5
2017-01-10 09:49:00,48.08,48.08,48.03,48.05,127,42918,2062283.375
2017-01-10 09:50:00,48.045,48.1,48.045,48.1,288,58791,2826380.25
2017-01-10 09:51:00,48.1,48.1,48.06,48.06,153,40385,1941912.125
2017-01-10 09:52:00,48.06,48.06,48.03,48.035,147,30934,1486209.375
2017-01-10 09:53:00,48.02,48.02,47.94,47.9701,584,133703,6414926.5
2017-01-10 09:54:00,47.97,48,47.95,47.98,203,71801,3444928
2017-01-10 09:55:00,47.98,47.98,47.94,47.9499,168,42212,2024698.25
2017-01-10 09:56:00,47.95,47.99,47.95,47.97,124,23437,1124395.25
2017-01-10 09:57:00,47.97,48,47.97,48,59,15143,726453.375
2017-01-10 09:58:00,47.99,48.03,47.9875,48.03,73,15246,731921.25
2017-01-10 09:59:00,48.03,48.0399,48.01,48.0399,69,12702,610008.25
2017-01-10 10:00:00,48.0335,48.1,48.0335,48.1,110,20840,1001823.25
2017-01-10 10:01:00,48.1,48.12,48.073,48.095,257,49476,2379575.75
2017-01-10 10:02:00,48.08,48.085,48.07,48.07,47,10739,516327.125
2017-01-10 10:03:00,48.07,48.08,48.05,48.08,135,29981,1440985.25
2017-01-10 10:04:00,48.08,48.09,48.07,48.07,149,34548,1661094.625
2017-01-10 10:05:00,48.07,48.07,48.04,48.05,41,7510,360893.0313
2017-01-10 10:06:00,48.04,48.08,48.04,48.07,63,11555,555254.75
2017-01-10 10:07:00,48.08,48.14,48.075,48.14,82,15906,765085.8125
2017-01-10 10:08:00,48.14,48.175,48.12,48.17,129,30057,1447022.625
2017-01-10 10:09:00,48.18,48.19,48.165,48.17,82,16754,807088.75
2017-01-10 10:10:00,48.16,48.18,48.15,48.15,40,8340,401679.0313
2017-01-10 10:11:00,48.15,48.15,48.1185,48.14,193,46913,2258244
2017-01-10 10:12:00,48.14,48.14,48.1,48.14,112,21930,1055262.25
2017-01-10 10:13:00,48.14,48.15,48.11,48.12,87,16134,776625.625
2017-01-10 10:14:00,48.11,48.12,48.08,48.1,166,53844,2589863.5
2017-01-10 10:15:00,48.1,48.1,48.0701,48.09,93,16209,779375.0625
2017-01-10 10:16:00,48.09,48.1,48.085,48.09,130,32460,1561192.375
2017-01-10 10:17:00,48.09,48.1,48.07,48.08,136,29399,1413434.875
2017-01-10 10:18:00,48.08,48.09,48.08,48.09,85,14786,710918.875
2017-01-10 10:19:00,48.09,48.115,48.09,48.115,70,10742,516698.0625
2017-01-10 10:20:00,48.1,48.1,48.08,48.08,91,15607,750490.6875
2017-01-10 10:21:00,48.08,48.08,48.065,48.07,102,19934,958256.9375
2017-01-10 10:22:00,48.07,48.1,48.0699,48.1,63,10426,501292.8125
2017-01-10 10:23:00,48.09,48.1,48.07,48.1,89,17076,821077.75
2017-01-10 10:24:00,48.1,48.13,48.1,48.12,116,22732,1093915.125
2017-01-10 10:25:00,48.1262,48.13,48.11,48.12,61,133503,6424143
2017-01-10 10:26:00,48.1155,48.12,48.09,48.095,30,6602,317625.2188
2017-01-10 10:27:00,48.0936,48.13,48.09,48.12,68,9207,442935.625
2017-01-10 10:28:00,48.13,48.14,48.12,48.13,30,6012,289356.0625
2017-01-10 10:29:00,48.13,48.135,48.12,48.13,62,12003,577620.5625
2017-01-10 10:30:00,48.13,48.137,48.1,48.1,32,5720,275282.3125
2017-01-10 10:31:00,48.09,48.105,48.08,48.1,120,26305,1265203.25
2017-01-10 10:32:00,48.1,48.1,48.075,48.08,86,21914,1053755
2017-01-10 10:33:00,48.08,48.095,48.0741,48.08,47,10476,503695.375
2017-01-10 10:34:00,48.08,48.08,48.0684,48.075,52,13800,663399.25
2017-01-10 10:35:00,48.08,48.11,48.075,48.09,98,19735,948978.875
2017-01-10 10:36:00,48.09,48.11,48.07,48.11,54,6711,322709.875
2017-01-10 10:37:00,48.11,48.12,48.1,48.12,67,10917,525218.375
2017-01-10 10:38:00,48.12,48.12,48.1135,48.12,18,2250,108267.0234
2017-01-10 10:39:00,48.11,48.11,48.095,48.11,58,10053,483593.25
2017-01-10 10:40:00,48.11,48.11,48.0834,48.0834,137,31772,1528065.5
2017-01-10 10:41:00,48.09,48.1,48.09,48.09,45,6522,313668.9688
2017-01-10 10:42:00,48.09,48.1,48.09,48.09,39,6900,331824
2017-01-10 10:43:00,48.1,48.12,48.1,48.12,97,18786,903785.125
2017-01-10 10:44:00,48.12,48.1259,48.1,48.1,114,22612,1087865
2017-01-10 10:45:00,48.09,48.09,48.0765,48.085,74,18593,893970
2017-01-10 10:46:00,48.08,48.08,48.06,48.06,65,15068,724350.8125
2017-01-10 10:47:00,48.06,48.08,48.06,48.07,62,14315,688093.0625
2017-01-10 10:48:00,48.07,48.11,48.05,48.11,117,22322,1072875.375
2017-01-10 10:49:00,48.11,48.13,48.1,48.13,57,11129,535423.1875
2017-01-10 10:50:00,48.13,48.13,48.12,48.1269,25,11030,530840.4375
2017-01-10 10:51:00,48.13,48.15,48.13,48.1499,75,11366,547159.5
2017-01-10 10:52:00,48.14,48.14,48.12,48.12,81,28196,1357198.5
2017-01-10 10:53:00,48.12,48.12,48.09,48.09,106,22177,1066754.875
2017-01-10 10:54:00,48.09,48.12,48.09,48.12,52,9922,477370.4375
2017-01-10 10:55:00,48.1253,48.15,48.12,48.149,66,11612,558840.875
2017-01-10 10:56:00,48.15,48.15,48.1499,48.15,81,17400,837810
2017-01-10 10:57:00,48.16,48.16,48.15,48.16,17,1950,93910
2017-01-10 10:58:00,48.15,48.15,48.14,48.15,69,12560,604749.25
2017-01-10 10:59:00,48.15,48.15,48.12,48.12,67,26567,1278926.5
2017-01-10 11:00:00,48.12,48.14,48.12,48.13,89,21041,1012727.375
2017-01-10 11:01:00,48.12,48.12,48.1,48.12,85,144590,6954935.5
2017-01-10 11:02:00,48.12,48.12,48.1,48.1,113,29083,1399182.5
2017-01-10 11:03:00,48.08,48.08,48.07,48.08,129,30772,1479297.125
2017-01-10 11:04:00,48.08,48.09,48.07,48.09,34,4984,239629.3125
2017-01-10 11:05:00,48.09,48.11,48.09,48.1065,70,15444,742775.25
2017-01-10 11:06:00,48.1,48.1,48.09,48.1,39,6700,322233.5
2017-01-10 11:07:00,48.11,48.145,48.11,48.14,137,32050,1542710.5
2017-01-10 11:08:00,48.13,48.13,48.12,48.13,17,4010,192989.2969
2017-01-10 11:09:00,48.1201,48.1265,48.1057,48.1057,70,23325,1122229.5
2017-01-10 11:10:00,48.11,48.11,48.09,48.0901,80,23381,1124446.625
2017-01-10 11:11:00,48.09,48.09,48.0899,48.09,32,8200,394337.9688
2017-01-10 11:12:00,48.1,48.13,48.1,48.13,61,11467,551709.75
2017-01-10 11:13:00,48.14,48.15,48.13,48.141,40,8283,398784.3125
2017-01-10 11:14:00,48.145,48.145,48.11,48.12,95,28831,1387518
2017-01-10 11:15:00,48.125,48.14,48.12,48.14,59,11284,543082.4375
2017-01-10 11:16:00,48.135,48.14,48.12,48.1261,31,7000,336897.25
2017-01-10 11:17:00,48.12,48.135,48.12,48.13,32,5652,272028.25
2017-01-10 11:18:00,48.14,48.1401,48.12,48.12,88,25512,1228052.75
2017-01-10 11:19:00,48.1234,48.14,48.11,48.13,181,45581,2193565.25
2017-01-10 11:20:00,48.1361,48.1365,48.11,48.11,81,16630,800287.3125
2017-01-10 11:21:00,48.12,48.1342,48.115,48.13,103,26507,1275651.125
2017-01-10 11:22:00,48.14,48.15,48.14,48.14,37,5893,283736.9375
2017-01-10 11:23:00,48.14,48.17,48.14,48.17,39,5500,264863.5
2017-01-10 11:24:00,48.17,48.17,48.14,48.14,34,14700,707959
2017-01-10 11:25:00,48.14,48.14,48.12,48.13,51,12591,606031.375
2017-01-10 11:26:00,48.13,48.1501,48.12,48.15,78,14022,674955.375
2017-01-10 11:27:00,48.15,48.163,48.14,48.16,54,10690,514768
2017-01-10 11:28:00,48.16,48.16,48.13,48.14,82,26164,1259858.25
2017-01-10 11:29:00,48.14,48.14,48.1399,48.14,37,6334,304918.75
2017-01-10 11:30:00,48.13,48.13,48.11,48.1163,46,18716,900718.75
2017-01-10 11:31:00,48.12,48.12,48.1,48.11,132,49158,2365101
2017-01-10 11:32:00,48.11,48.14,48.11,48.1175,172,44844,2158180.25
2017-01-10 11:33:00,48.12,48.12,48.11,48.1162,42,6668,320847.2813
2017-01-10 11:34:00,48.12,48.13,48.115,48.13,33,4146,199514.4844
2017-01-10 11:35:00,48.13,48.13,48.12,48.13,52,10123,487198.9375
2017-01-10 11:36:00,48.13,48.14,48.12,48.13,42,7100,341720.5
2017-01-10 11:37:00,48.13,48.135,48.1,48.1,92,18247,878017.875
2017-01-10 11:38:00,48.09,48.12,48.09,48.105,84,19306,928752.875
2017-01-10 11:39:00,48.11,48.14,48.11,48.14,65,17259,830599
2017-01-10 11:40:00,48.1362,48.14,48.13,48.13,41,10576,509065.5
2017-01-10 11:41:00,48.125,48.1357,48.12,48.12,47,9366,450742.4375
2017-01-10 11:42:00,48.12,48.14,48.12,48.14,35,11890,572232.3125
2017-01-10 11:43:00,48.13,48.1353,48.13,48.131,5,905,43559.0469
2017-01-10 11:44:00,48.13,48.14,48.125,48.1301,64,9155,440632.6563
2017-01-10 11:45:00,48.13,48.145,48.13,48.145,48,9365,450808.2813
2017-01-10 11:46:00,48.14,48.165,48.14,48.16,59,16115,776087.1875
2017-01-10 11:47:00,48.16,48.18,48.16,48.17,34,7626,367373.1875
2017-01-10 11:48:00,48.17,48.175,48.17,48.17,33,12200,587675.5
2017-01-10 11:49:00,48.165,48.17,48.15,48.17,96,37886,1824562
2017-01-10 11:50:00,48.1657,48.17,48.16,48.16,30,6003,289162.1563
2017-01-10 11:51:00,48.17,48.17,48.166,48.17,20,3200,154143.5938
2017-01-10 11:52:00,48.17,48.195,48.17,48.195,38,9400,452895.4688
2017-01-10 11:53:00,48.19,48.1953,48.17,48.18,74,26904,1296370
2017-01-10 11:54:00,48.175,48.18,48.172,48.172,3,415,19992.4805
2017-01-10 11:55:00,48.18,48.18,48.17,48.17,40,17050,821301.375
2017-01-10 11:56:00,48.16,48.17,48.16,48.17,4,500,24083
2017-01-10 11:57:00,48.165,48.165,48.15,48.16,107,42439,2043866
2017-01-10 11:58:00,48.16,48.16,48.1562,48.16,42,10623,511602.9063
2017-01-10 11:59:00,48.155,48.16,48.15,48.15,18,2940,141567.9063
2017-01-10 12:00:00,48.145,48.145,48.13,48.14,64,13400,645061
2017-01-10 12:01:00,48.15,48.16,48.15,48.15,34,4794,230840.0313
2017-01-10 12:02:00,48.145,48.145,48.12,48.12,39,11410,549258.125
2017-01-10 12:03:00,48.13,48.13,48.12,48.12,17,3803,183008.8906
2017-01-10 12:04:00,48.13,48.14,48.12,48.14,86,18650,897710.5
2017-01-10 12:05:00,48.14,48.14,48.1201,48.1201,17,2374,114258.9063
2017-01-10 12:06:00,48.13,48.1365,48.125,48.125,17,3150,151615.8281
2017-01-10 12:07:00,48.12,48.12,48.095,48.1001,247,94161,4529499.5
2017-01-10 12:08:00,48.1,48.12,48.1,48.12,42,14722,708354.5
2017-01-10 12:09:00,48.12,48.12,48.11,48.12,28,6515,313494.6563
2017-01-10 12:10:00,48.11,48.11,48.11,48.11,14,4300,206873
2017-01-10 12:11:00,48.11,48.13,48.11,48.13,42,14063,676694.75
2017-01-10 12:12:00,48.13,48.14,48.13,48.14,25,4941,237821.4688
2017-01-10 12:13:00,48.13,48.13,48.13,48.13,45,7563,364007.1875
2017-01-10 12:14:00,48.1337,48.145,48.13,48.13,47,14870,715815.375
2017-01-10 12:15:00,48.13,48.13,48.1078,48.1078,162,66193,3184978.5
2017-01-10 12:16:00,48.11,48.11,48.09,48.11,143,56296,2707357.25
2017-01-10 12:17:00,48.1165,48.12,48.11,48.12,19,5639,271336.5938
2017-01-10 12:18:00,48.12,48.15,48.115,48.14,74,21589,1039218.375
2017-01-10 12:19:00,48.14,48.16,48.14,48.16,80,23574,1135032.25
2017-01-10 12:20:00,48.16,48.16,48.1532,48.155,16,2617,126028.5156
2017-01-10 12:21:00,48.16,48.18,48.16,48.16,206,124977,6019721
2017-01-10 12:22:00,48.16,48.16,48.135,48.14,136,55403,2667436
2017-01-10 12:23:00,48.14,48.14,48.13,48.13,188,84604,4072658.75
2017-01-10 12:24:00,48.13,48.13,48.12,48.12,156,79808,3841101.25
2017-01-10 12:25:00,48.12,48.13,48.12,48.12,117,37470,1803180.25
2017-01-10 12:26:00,48.13,48.13,48.121,48.13,160,70724,3403944.5
2017-01-10 12:27:00,48.13,48.14,48.12,48.12,264,107652,5180856.5
2017-01-10 12:28:00,48.12,48.12,48.1,48.1,120,55883,2688760.5
2017-01-10 12:29:00,48.1,48.1,48.08,48.08,72,35390,1702060.5
2017-01-10 12:30:00,48.09,48.09,48.08,48.08,89,38084,1831302.375
