"datetime","open","high","low","close","numEvents","volume","value"
2017-01-10 09:31:00,83.23,83.23,83.13,83.13,66,20125,1674146.5
2017-01-10 09:32:00,83.12,83.16,83.1,83.15,91,15334,1274525
2017-01-10 09:33:00,83.14,83.16,83.1,83.16,121,17997,1496160.375
2017-01-10 09:34:00,83.16,83.17,83.12,83.15,69,10503,873294.5625
2017-01-10 09:35:00,83.155,83.205,83.155,83.185,88,13000,1081408.5
2017-01-10 09:36:00,83.185,83.235,83.185,83.22,143,25384,2112428.75
2017-01-10 09:37:00,83.2259,83.2259,83.175,83.175,48,7759,645478.75
2017-01-10 09:38:00,83.185,83.201,83.185,83.19,107,17824,1482854
2017-01-10 09:39:00,83.195,83.21,83.185,83.2,56,7476,621991.9375
2017-01-10 09:40:00,83.205,83.21,83.14,83.16,131,21709,1805460.875
2017-01-10 09:41:00,83.165,83.17,83.13,83.15,151,18458,1534634.875
2017-01-10 09:42:00,83.16,83.19,83.16,83.18,1050,230266,19153852
2017-01-10 09:43:00,83.1959,83.2063,83.19,83.2,64,9033,751522.625
2017-01-10 09:44:00,83.2,83.22,83.2,83.2,66,9406,782635.6875
2017-01-10 09:45:00,83.21,83.26,83.21,83.24,144,18805,1565419.75
2017-01-10 09:46:00,83.24,83.27,83.22,83.24,130,20120,1674920
2017-01-10 09:47:00,83.25,83.29,83.25,83.28,192,30114,2507641
2017-01-10 09:48:00,83.285,83.295,83.28,83.28,112,18910,1574977.125
2017-01-10 09:49:00,83.28,83.2999,83.265,83.2999,23,3888,323790.625
2017-01-10 09:50:00,83.29,83.29,83.28,83.285,62,9479,789421.125
2017-01-10 09:51:00,83.29,83.33,83.28,83.33,68,7900,658075
2017-01-10 09:52:00,83.34,83.35,83.3,83.3,157,28038,2336327.5
2017-01-10 09:53:00,83.3,83.3,83.16,83.235,253,33950,2825163.5
2017-01-10 09:54:00,83.23,83.24,83.21,83.23,22,3236,269325.2813
2017-01-10 09:55:00,83.22,83.27,83.2,83.2565,215,29119,2423736
2017-01-10 09:56:00,83.245,83.28,83.24,83.28,78,10010,833411.1875
2017-01-10 09:57:00,83.29,83.29,83.27,83.27,25,5460,454724.125
2017-01-10 09:58:00,83.2765,83.3,83.275,83.3,26,3100,258180.4063
2017-01-10 09:59:00,83.3,83.33,83.3,83.3165,77,10410,867295.9375
2017-01-10 10:00:00,83.3144,83.32,83.3,83.3,14,1904,158626.4844
2017-01-10 10:01:00,83.29,83.29,83.27,83.28,26,3917,326215.75
2017-01-10 10:02:00,83.2865,83.29,83.27,83.28,161,20043,1669170.75
2017-01-10 10:03:00,83.28,83.29,83.27,83.28,100,16431,1368359.125
2017-01-10 10:04:00,83.28,83.295,83.28,83.29,48,5400,449761.5
2017-01-10 10:05:00,83.29,83.3,83.28,83.28,24,4157,346217.875
2017-01-10 10:06:00,83.28,83.3,83.28,83.3,6,600,49973
2017-01-10 10:07:00,83.31,83.31,83.27,83.28,51,9192,765569.0625
2017-01-10 10:08:00,83.27,83.28,83.26,83.27,23,2500,208178
2017-01-10 10:09:00,83.28,83.29,83.25,83.26,90,15161,1262632.125
2017-01-10 10:10:00,83.27,83.27,83.245,83.25,43,4756,395941.5
2017-01-10 10:11:00,83.25,83.27,83.25,83.27,66,7873,655524.875
2017-01-10 10:12:00,83.27,83.27,83.25,83.25,33,3709,308822.25
2017-01-10 10:13:00,83.25,83.28,83.25,83.28,31,3100,258082
2017-01-10 10:14:00,83.27,83.27,83.27,83.27,12,1200,99924
2017-01-10 10:15:00,83.28,83.3,83.28,83.3,8,2775,231140.3594
2017-01-10 10:16:00,83.32,83.32,83.315,83.32,47,5300,441594.5
2017-01-10 10:17:00,83.31,83.31,83.29,83.29,28,3900,324892
2017-01-10 10:18:00,83.29,83.29,83.28,83.28,35,4400,366436.5
2017-01-10 10:19:00,83.275,83.285,83.265,83.285,11,1500,124912.2031
2017-01-10 10:20:00,83.285,83.285,83.26,83.26,74,12064,1004546.8125
2017-01-10 10:21:00,83.25,83.27,83.25,83.27,9,1200,99914
2017-01-10 10:22:00,83.26,83.26,83.22,83.23,26,3780,314631.4063
2017-01-10 10:23:00,83.23,83.25,83.23,83.25,11,1300,108212
2017-01-10 10:24:00,83.24,83.27,83.22,83.25,41,5812,483803.3438
2017-01-10 10:25:00,83.25,83.25,83.25,83.25,9,1202,100066.5
2017-01-10 10:26:00,83.27,83.28,83.27,83.28,17,1700,141575
2017-01-10 10:27:00,83.27,83.27,83.26,83.27,39,6600,549579.5
2017-01-10 10:28:00,83.265,83.27,83.25,83.26,126,16337,1360208.75
2017-01-10 10:29:00,83.26,83.29,83.26,83.2799,51,7033,585658.8125
2017-01-10 10:30:00,83.28,83.31,83.27,83.3,23,3002,250020.6563
2017-01-10 10:31:00,83.31,83.34,83.31,83.335,161,25018,2084593.5
2017-01-10 10:32:00,83.34,83.4,83.335,83.4,127,18156,1513911.375
2017-01-10 10:33:00,83.4,83.4,83.37,83.38,19,2345,195525.5
2017-01-10 10:34:00,83.38,83.4,83.38,83.4,42,5671,472911.5313
2017-01-10 10:35:00,83.39,83.41,83.39,83.41,18,3019,251779.7813
2017-01-10 10:36:00,83.41,83.41,83.3965,83.4,29,3926,327432.5313
2017-01-10 10:37:00,83.39,83.39,83.37,83.37,14,2800,233474.2969
2017-01-10 10:38:00,83.38,83.3943,83.38,83.3943,5,550,45862.1445
2017-01-10 10:39:00,83.39,83.39,83.38,83.38,17,2400,200129
2017-01-10 10:40:00,83.38,83.3841,83.37,83.38,11,1241,103474.0703
2017-01-10 10:41:00,83.39,83.39,83.38,83.38,2,200,16677
2017-01-10 10:42:00,83.38,83.395,83.37,83.39,44,6756,563346.75
2017-01-10 10:43:00,83.39,83.39,83.3863,83.39,15,2380,198464.2969
2017-01-10 10:44:00,83.39,83.395,83.38,83.395,49,8772,731513.125
2017-01-10 10:45:00,83.39,83.395,83.38,83.38,44,6342,528870.125
2017-01-10 10:46:00,83.38,83.385,83.37,83.38,20,2300,191775.5
2017-01-10 10:47:00,83.39,83.44,83.39,83.44,21,3767,314216.75
2017-01-10 10:48:00,83.45,83.45,83.43,83.44,51,6200,517344
2017-01-10 10:49:00,83.46,83.46,83.43,83.43,43,6485,541169.9375
2017-01-10 10:50:00,83.43,83.445,83.4285,83.44,48,9997,834140.6875
2017-01-10 10:51:00,83.43,83.465,83.43,83.455,88,13886,1158888
2017-01-10 10:52:00,83.45,83.45,83.44,83.45,21,2444,203939.7031
2017-01-10 10:53:00,83.455,83.5,83.44,83.49,64,9040,754586.5
2017-01-10 10:54:00,83.5,83.51,83.49,83.49,18,2631,219685.5
2017-01-10 10:55:00,83.51,83.51,83.49,83.505,20,2900,242159.3906
2017-01-10 10:56:00,83.5061,83.54,83.5061,83.53,33,5061,422742.9375
2017-01-10 10:57:00,83.53,83.545,83.52,83.539,36,4900,409334.3125
2017-01-10 10:58:00,83.5301,83.55,83.53,83.54,31,4371,365181.6563
2017-01-10 10:59:00,83.55,83.55,83.53,83.535,22,3094,258470.6875
2017-01-10 11:00:00,83.53,83.54,83.53,83.54,26,3200,267302.5
2017-01-10 11:01:00,83.53,83.54,83.53,83.5364,52,9906,827459.4375
2017-01-10 11:02:00,83.54,83.55,83.54,83.55,15,2172,181453.375
2017-01-10 11:03:00,83.54,83.57,83.54,83.57,52,8679,725106.0625
2017-01-10 11:04:00,83.57,83.62,83.57,83.62,59,26226,2192481.5
2017-01-10 11:05:00,83.62,83.65,83.62,83.65,29,4550,380559.75
2017-01-10 11:06:00,83.66,83.675,83.66,83.67,59,7500,627523.5
2017-01-10 11:07:00,83.67,83.67,83.6337,83.64,33,4091,342237.0625
2017-01-10 11:08:00,83.635,83.64,83.62,83.64,21,3853,322212.0938
2017-01-10 11:09:00,83.64,83.645,83.63,83.63,69,8933,747159.125
2017-01-10 11:10:00,83.635,83.635,83.6,83.6,12,3800,317791.5
2017-01-10 11:11:00,83.6,83.61,83.6,83.6,23,3915,327315.125
2017-01-10 11:12:00,83.6,83.6,83.59,83.59,7,1180,98641.2656
2017-01-10 11:13:00,83.59,83.59,83.57,83.57,22,5128,428642.0625
2017-01-10 11:14:00,83.58,83.585,83.565,83.585,40,6018,502963.4688
2017-01-10 11:15:00,83.58,83.605,83.58,83.6,42,11398,952783.5
2017-01-10 11:16:00,83.6,83.605,83.58,83.59,19,2193,183320.375
2017-01-10 11:17:00,83.5953,83.605,83.59,83.595,40,5188,433698.125
2017-01-10 11:18:00,83.58,83.58,83.57,83.58,89,13166,1100309.5
2017-01-10 11:19:00,83.5741,83.6,83.5741,83.5865,24,4820,402885
2017-01-10 11:20:00,83.59,83.6,83.58,83.583,42,7455,623175.8125
2017-01-10 11:21:00,83.59,83.61,83.59,83.61,28,2958,247291.5
2017-01-10 11:22:00,83.61,83.62,83.6085,83.6085,63,18126,1515657.875
2017-01-10 11:23:00,83.6,83.605,83.59,83.6,17,4227,353371.25
2017-01-10 11:24:00,83.6031,83.61,83.6,83.61,7,1250,104502.5469
2017-01-10 11:25:00,83.61,83.62,83.605,83.62,19,3100,259192.5
2017-01-10 11:26:00,83.62,83.625,83.62,83.625,51,5300,443195
2017-01-10 11:27:00,83.62,83.625,83.6,83.6,47,5800,484968.5
2017-01-10 11:28:00,83.61,83.625,83.6072,83.61,27,5641,471660.9063
2017-01-10 11:29:00,83.601,83.601,83.59,83.59,24,2600,217344.0938
2017-01-10 11:30:00,83.5962,83.605,83.59,83.59,31,4238,354286.7813
2017-01-10 11:31:00,83.59,83.5999,83.58,83.58,24,2824,236058.8906
2017-01-10 11:32:00,83.58,83.59,83.57,83.57,33,3800,317610.5
2017-01-10 11:33:00,83.58,83.58,83.5738,83.58,21,2496,208613.5156
2017-01-10 11:34:00,83.585,83.585,83.56,83.58,26,3313,276870.875
