"datetime","open","high","low","close","numEvents","volume","value"
2017-01-13 09:31:00,32.1,32.1,32.02,32.02,2,10685,342980.4688
2017-01-13 09:32:00,32.01,32.08,32.01,32.06,17,1700,54507
2017-01-13 09:33:00,32.08,32.21,32.05,32.21,59,7300,234763
2017-01-13 09:34:00,32.17,32.18,32.12,32.12,8,1300,41812.6016
2017-01-13 09:35:00,32.08,32.1,32.04,32.1,71,7330,235130.0156
2017-01-13 09:36:00,32.12,32.13,32.09,32.09,30,3600,115637
2017-01-13 09:37:00,32.12,32.12,32.03,32.03,124,21560,692149.625
2017-01-13 09:38:00,32,32.01,31.95,31.95,8,2236,71553.5
2017-01-13 09:39:00,31.97,32.01,31.97,31.99,60,8000,255955
2017-01-13 09:40:00,31.99,31.99,31.92,31.94,62,8300,265194
2017-01-13 09:41:00,31.96,32.015,31.95,31.97,50,7700,246265
2017-01-13 09:42:00,31.97,31.97,31.87,31.87,103,12801,408822.1563
2017-01-13 09:43:00,31.88,31.965,31.88,31.94,44,5200,166022.5
2017-01-13 09:44:00,31.97,32.045,31.97,32.04,66,8300,265636.5
2017-01-13 09:45:00,32.04,32.07,32.02,32.07,62,9453,302926.9375
2017-01-13 09:46:00,32.07,32.08,32.04,32.07,34,7500,240450.6094
2017-01-13 09:47:00,32.06,32.07,31.985,31.99,82,9200,294484
2017-01-13 09:48:00,32,32,31.95,32,30,3700,118305
2017-01-13 09:49:00,31.99,32.03,31.99,32.02,13,1500,48014
2017-01-13 09:50:00,32.02,32.021,31.99,31.99,37,4755,152191.5
2017-01-13 09:51:00,31.98,32.01,31.98,32.01,58,7900,252757
2017-01-13 09:52:00,32.03,32.04,32.01,32.01,25,2600,83263
2017-01-13 09:53:00,32,32.0295,32,32.02,18,2083,66696.2969
2017-01-13 09:54:00,32.01,32.07,32,32.07,20,2100,67278
2017-01-13 09:55:00,32.0784,32.1,32.06,32.07,55,7498,240538.3281
2017-01-13 09:56:00,32.06,32.11,32.06,32.1,83,9300,298455.5938
2017-01-13 09:57:00,32.11,32.17,32.09,32.17,40,4387,140906.9375
2017-01-13 09:58:00,32.16,32.22,32.16,32.22,24,3400,109484.0938
2017-01-13 09:59:00,32.23,32.23,32.2,32.23,16,1607,51770.4102
2017-01-13 10:00:00,32.22,32.22,32.22,32.22,12,1300,41886
2017-01-13 10:01:00,32.23,32.26,32.23,32.25,88,10800,348243
