"datetime","open","high","low","close","numEvents","volume","value"
2017-01-09 09:31:00,226.91,226.93,226.76,226.8,1457,738080,167443360
2017-01-09 09:32:00,226.82,226.91,226.79,226.84,921,218580,49583636
2017-01-09 09:33:00,226.84,226.86,226.815,226.8359,362,74657,16935474
2017-01-09 09:34:00,226.84,226.86,226.65,226.673,1066,329939,74812112
2017-01-09 09:35:00,226.67,226.79,226.67,226.78,574,117273,26588014
2017-01-09 09:36:00,226.78,226.79,226.63,226.64,825,269300,61055132
2017-01-09 09:37:00,226.64,226.6488,226.59,226.61,583,140505,31840594
2017-01-09 09:38:00,226.6175,226.7,226.6,226.69,661,193380,43830816
2017-01-09 09:39:00,226.7,226.76,226.65,226.74,574,136777,31007716
2017-01-09 09:40:00,226.74,226.83,226.73,226.82,648,199269,45190856
2017-01-09 09:41:00,226.82,226.83,226.74,226.75,615,181949,41261524
2017-01-09 09:42:00,226.74,226.77,226.64,226.64,733,180431,40903732
2017-01-09 09:43:00,226.65,226.67,226.5185,226.55,1096,265538,60172636
2017-01-09 09:44:00,226.55,226.62,226.52,226.525,634,125179,28362288
2017-01-09 09:45:00,226.52,226.58,226.49,226.49,480,149164,33789932
2017-01-09 09:46:00,226.5,226.5,226.4163,226.46,613,187332,42421428
2017-01-09 09:47:00,226.45,226.51,226.42,226.4799,580,246435,55810244
2017-01-09 09:48:00,226.48,226.52,226.425,226.51,596,132317,29964872
2017-01-09 09:49:00,226.515,226.63,226.51,226.62,639,144365,32707502
2017-01-09 09:50:00,226.62,226.6499,226.6032,226.62,511,240188,54431132
2017-01-09 09:51:00,226.6101,226.65,226.58,226.63,490,123292,27939958
2017-01-09 09:52:00,226.63,226.69,226.6,226.68,455,153222,34728268
2017-01-09 09:53:00,226.67,226.72,226.645,226.72,535,128504,29129308
2017-01-09 09:54:00,226.71,226.75,226.68,226.73,486,114754,26016902
2017-01-09 09:55:00,226.73,226.77,226.67,226.69,761,184986,41941772
2017-01-09 09:56:00,226.6901,226.73,226.69,226.71,481,117183,26567066
2017-01-09 09:57:00,226.7059,226.71,226.67,226.69,468,124841,28300584
2017-01-09 09:58:00,226.68,226.74,226.68,226.68,467,97917,22199098
2017-01-09 09:59:00,226.68,226.6959,226.66,226.66,345,90496,20513752
2017-01-09 10:00:00,226.66,226.69,226.65,226.68,336,82276,18649158
2017-01-09 10:01:00,226.68,226.74,226.67,226.74,627,156131,35396816
2017-01-09 10:02:00,226.74,226.75,226.68,226.69,408,101720,23061988
2017-01-09 10:03:00,226.68,226.725,226.6,226.6,808,163329,37021024
2017-01-09 10:04:00,226.61,226.635,226.55,226.56,1221,297970,67516440
2017-01-09 10:05:00,226.56,226.609,226.55,226.58,627,150948,34200504
2017-01-09 10:06:00,226.58,226.58,226.49,226.53,757,164619,37291788
2017-01-09 10:07:00,226.53,226.54,226.48,226.5,665,138559,31384348
2017-01-09 10:08:00,226.5,226.57,226.5,226.55,450,111901,25351004
2017-01-09 10:09:00,226.5439,226.61,226.5439,226.6001,286,74625,16909132
2017-01-09 10:10:00,226.6057,226.61,226.53,226.55,418,94265,21357770
2017-01-09 10:11:00,226.55,226.56,226.53,226.54,439,112601,25508654
2017-01-09 10:12:00,226.53,226.54,226.49,226.52,617,113168,25633708
2017-01-09 10:13:00,226.51,226.56,226.51,226.555,422,128683,29151250
2017-01-09 10:14:00,226.56,226.57,226.53,226.54,244,53965,12225648
2017-01-09 10:15:00,226.54,226.56,226.53,226.55,276,56033,12693974
2017-01-09 10:16:00,226.55,226.56,226.47,226.51,454,92930,21049264
2017-01-09 10:17:00,226.51,226.63,226.5,226.63,842,218877,49591876
2017-01-09 10:18:00,226.62,226.66,226.62,226.66,539,148583,33674060
2017-01-09 10:19:00,226.66,226.67,226.61,226.62,511,107926,24461066
2017-01-09 10:20:00,226.615,226.67,226.61,226.665,484,119928,27180920
2017-01-09 10:21:00,226.66,226.71,226.64,226.71,721,219617,49781376
2017-01-09 10:22:00,226.71,226.75,226.7,226.7301,745,245946,55760760
2017-01-09 10:23:00,226.73,226.7417,226.71,226.74,435,103734,23519564
2017-01-09 10:24:00,226.745,226.745,226.69,226.73,441,160726,36439940
2017-01-09 10:25:00,226.73,226.77,226.71,226.74,538,178058,40373544
2017-01-09 10:26:00,226.7597,226.7597,226.68,226.69,190,33299,7549413.5
2017-01-09 10:27:00,226.69,226.69,226.64,226.66,572,147063,33333560
2017-01-09 10:28:00,226.67,226.7,226.67,226.695,407,103568,23477192
2017-01-09 10:29:00,226.69,226.7,226.6702,226.7,112,19984,4530187
2017-01-09 10:30:00,226.695,226.73,226.695,226.72,281,80436,18235784
2017-01-09 10:31:00,226.72,226.73,226.65,226.71,462,107802,24437094
2017-01-09 10:32:00,226.71,226.725,226.685,226.71,547,169456,38417436
2017-01-09 10:33:00,226.7,226.73,226.69,226.7233,300,65453,14838494
2017-01-09 10:34:00,226.73,226.76,226.715,226.75,403,85084,19291690
2017-01-09 10:35:00,226.76,226.76,226.715,226.725,370,92851,21052210
2017-01-09 10:36:00,226.725,226.7256,226.65,226.66,759,208930,47362768
2017-01-09 10:37:00,226.655,226.71,226.65,226.71,320,94431,21404832
2017-01-09 10:38:00,226.7,226.71,226.6593,226.67,341,54632,12383650
2017-01-09 10:39:00,226.68,226.7,226.67,226.7,239,50335,11410227
2017-01-09 10:40:00,226.7,226.73,226.695,226.7089,398,81610,18501990
2017-01-09 10:41:00,226.7,226.75,226.69,226.7499,362,95428,21635372
2017-01-09 10:42:00,226.745,226.76,226.715,226.72,442,130698,29634294
2017-01-09 10:43:00,226.72,226.75,226.69,226.745,312,79232,17962214
2017-01-09 10:44:00,226.7415,226.81,226.74,226.79,554,127024,28807212
2017-01-09 10:45:00,226.79,226.79,226.72,226.74,229,57090,12945891
2017-01-09 10:46:00,226.73,226.73,226.69,226.7,375,85248,19327066
2017-01-09 10:47:00,226.7,226.715,226.66,226.69,333,84827,19228800
2017-01-09 10:48:00,226.69,226.701,226.685,226.701,149,56057,12707701
2017-01-09 10:49:00,226.71,226.75,226.71,226.745,238,57729,13088386
2017-01-09 10:50:00,226.749,226.85,226.73,226.84,694,167142,37905360
2017-01-09 10:51:00,226.84,226.85,226.79,226.83,353,73485,16668303
2017-01-09 10:52:00,226.82,226.95,226.82,226.935,556,128523,29161144
2017-01-09 10:53:00,226.935,226.94,226.88,226.93,565,119744,27171940
2017-01-09 10:54:00,226.9392,226.9392,226.9,226.935,242,52690,11956103
2017-01-09 10:55:00,226.94,226.96,226.91,226.9263,390,134629,30552276
2017-01-09 10:56:00,226.93,226.95,226.91,226.93,256,81281,18444520
2017-01-09 10:57:00,226.93,226.98,226.92,226.965,923,289702,65750972
2017-01-09 10:58:00,226.96,226.98,226.9502,226.965,488,191215,43399716
2017-01-09 10:59:00,226.965,227,226.95,226.995,428,200122,45423196
2017-01-09 11:00:00,227,227.02,226.95,226.95,1004,357420,81133736
2017-01-09 11:01:00,226.95,226.9565,226.87,226.88,536,129834,29460312
2017-01-09 11:02:00,226.87,226.91,226.87,226.88,352,101041,22924258
2017-01-09 11:03:00,226.88,226.915,226.87,226.9,323,63590,14428347
2017-01-09 11:04:00,226.9,226.91,226.87,226.89,302,72572,16466348
2017-01-09 11:05:00,226.89,226.905,226.85,226.866,409,79274,17985368
2017-01-09 11:06:00,226.865,226.9,226.86,226.885,458,137674,31235322
2017-01-09 11:07:00,226.89,226.92,226.885,226.9,331,63537,14416823
2017-01-09 11:08:00,226.91,226.96,226.89,226.95,420,105569,23955362
2017-01-09 11:09:00,226.95,227,226.95,226.9962,177,57502,13051679
2017-01-09 11:10:00,227,227,226.94,226.95,223,55400,12574218
2017-01-09 11:11:00,226.94,226.96,226.93,226.93,119,24495,5559053
2017-01-09 11:12:00,226.93,226.97,226.89,226.9,347,65860,14946036
2017-01-09 11:13:00,226.895,226.9,226.87,226.885,168,34362,7796369.5
2017-01-09 11:14:00,226.88,226.95,226.88,226.94,220,77080,17491286
2017-01-09 11:15:00,226.93,226.96,226.92,226.95,106,24858,5641359.5
2017-01-09 11:16:00,226.95,226.96,226.92,226.9299,324,85930,19499726
2017-01-09 11:17:00,226.92,226.93,226.9,226.9201,146,42295,9597389
2017-01-09 11:18:00,226.92,226.92,226.9,226.92,90,23205,5265486
2017-01-09 11:19:00,226.93,226.98,226.93,226.97,321,86081,19537158
2017-01-09 11:20:00,226.975,227.02,226.955,227.02,499,125242,28427428
2017-01-09 11:21:00,227.02,227.07,227.01,227.065,713,153956,34953808
2017-01-09 11:22:00,227.06,227.0701,227.04,227.06,167,48896,11102352
2017-01-09 11:23:00,227.06,227.07,227.04,227.05,135,21210,4815870
2017-01-09 11:24:00,227.05,227.05,227,227.03,659,154890,35163784
