"datetime","open","high","low","close","numEvents","volume","value"
2017-01-13 09:31:00,50.96,50.96,50.89,50.938,203,38606,1966306.625
2017-01-13 09:32:00,50.93,50.94,50.86,50.88,67,13500,687278
2017-01-13 09:33:00,50.9,50.96,50.9,50.93,130,24315,1238560.125
2017-01-13 09:34:00,50.93,50.96,50.9,50.9,76,13109,667522.3125
2017-01-13 09:35:00,50.9,50.92,50.88,50.92,62,10020,510071.875
2017-01-13 09:36:00,50.92,50.9525,50.92,50.94,122,30399,1548301
2017-01-13 09:37:00,50.94,50.9425,50.9,50.92,140,34494,1756794.875
2017-01-13 09:38:00,50.92,50.92,50.87,50.88,155,43007,2188832.25
2017-01-13 09:39:00,50.88,50.91,50.875,50.88,82,19260,980069.3125
2017-01-13 09:40:00,50.87,50.87,50.83,50.85,95,27886,1417932.5
2017-01-13 09:41:00,50.86,50.91,50.86,50.91,85,14700,748192
2017-01-13 09:42:00,50.9,50.9,50.86,50.86,93,19911,1012844.125
2017-01-13 09:43:00,50.8535,50.87,50.85,50.85,33,4784,243325.3438
2017-01-13 09:44:00,50.86,50.88,50.86,50.88,23,4500,228880
2017-01-13 09:45:00,50.88,50.9,50.87,50.9,53,13700,697144
2017-01-13 09:46:00,50.9,50.92,50.8711,50.91,67,11059,562910.1875
2017-01-13 09:47:00,50.9,50.9,50.88,50.88,39,5963,303489.4375
2017-01-13 09:48:00,50.89,50.9,50.88,50.8999,22,7665,390084.625
2017-01-13 09:49:00,50.91,50.92,50.91,50.91,25,4445,226297.4844
2017-01-13 09:50:00,50.92,50.92,50.88,50.88,50,8421,428624.5
2017-01-13 09:51:00,50.88,50.92,50.88,50.92,57,10168,517515.0313
2017-01-13 09:52:00,50.92,50.93,50.91,50.92,26,3964,201844.0938
2017-01-13 09:53:00,50.92,50.93,50.92,50.93,14,1950,99311.5
2017-01-13 09:54:00,50.925,50.93,50.91,50.93,30,7022,357560.125
2017-01-13 09:55:00,50.92,50.92,50.9,50.9,55,11510,586010
2017-01-13 09:56:00,50.91,50.94,50.91,50.93,45,10292,524153
2017-01-13 09:57:00,50.92,50.96,50.92,50.94,50,11965,609531.8125
2017-01-13 09:58:00,50.93,50.97,50.93,50.97,56,13500,687749.25
2017-01-13 09:59:00,50.98,50.98,50.9652,50.97,24,4546,231732.1406
2017-01-13 10:00:00,50.97,50.97,50.94,50.95,79,17265,879582.875
2017-01-13 10:01:00,50.97,50.985,50.93,50.93,125,29556,1506098.375
2017-01-13 10:02:00,50.93,50.9766,50.93,50.9766,55,13116,668124.125
2017-01-13 10:03:00,50.98,50.98,50.97,50.98,56,12842,654591.8125
2017-01-13 10:04:00,50.98,51.01,50.98,51.01,47,9902,504861
2017-01-13 10:05:00,51.0066,51.01,50.99,51.007,83,21163,1079286.875
2017-01-13 10:06:00,51,51,50.98,50.99,43,12691,647098.8125
2017-01-13 10:07:00,50.985,50.985,50.95,50.95,43,11200,570723.5
2017-01-13 10:08:00,50.96,50.96,50.911,50.911,87,21933,1117450.25
2017-01-13 10:09:00,50.92,50.935,50.92,50.93,94,24928,1269529.5
2017-01-13 10:10:00,50.93,50.935,50.91,50.92,91,22987,1170498.5
2017-01-13 10:11:00,50.9149,50.93,50.9149,50.92,25,5020,255630.6563
2017-01-13 10:12:00,50.92,50.94,50.92,50.94,77,20259,1031823.875
2017-01-13 10:13:00,50.935,50.935,50.91,50.92,26,4099,208729.6563
2017-01-13 10:14:00,50.92,50.92,50.91,50.92,8,1198,60997.9141
2017-01-13 10:15:00,50.92,50.93,50.89,50.89,32,6300,320663
2017-01-13 10:16:00,50.89,50.91,50.89,50.91,69,15382,782848
2017-01-13 10:17:00,50.9058,50.9058,50.895,50.9,10,1358,69119.9688
2017-01-13 10:18:00,50.91,50.93,50.9,50.92,38,6855,349019.125
2017-01-13 10:19:00,50.91,50.91,50.86,50.87,78,15914,809729.3125
2017-01-13 10:20:00,50.88,50.88,50.85,50.85,63,12969,659591.6875
2017-01-13 10:21:00,50.85,50.855,50.85,50.85,18,2931,149042.4531
2017-01-13 10:22:00,50.85,50.86,50.85,50.854,38,9800,498331.8125
2017-01-13 10:23:00,50.85,50.85,50.8213,50.83,31,4732,240558.8281
2017-01-13 10:24:00,50.83,50.8357,50.83,50.8357,6,945,48036.8867
2017-01-13 10:25:00,50.82,50.82,50.8199,50.82,15,2978,151341.9063
2017-01-13 10:26:00,50.82,50.86,50.82,50.85,96,19570,995081.375
2017-01-13 10:27:00,50.84,50.84,50.825,50.825,41,7629,387792.2188
2017-01-13 10:28:00,50.8253,50.8253,50.825,50.825,3,348,17687.1445
2017-01-13 10:29:00,50.814,50.814,50.8,50.8,4,500,25404.8008
2017-01-13 10:30:00,50.805,50.805,50.79,50.79,29,4800,243837.5
2017-01-13 10:31:00,50.8,50.8,50.795,50.8,57,13456,683561.0625
2017-01-13 10:32:00,50.8,50.81,50.8,50.81,89,19200,975544.5
2017-01-13 10:33:00,50.81,50.835,50.81,50.835,18,2200,111799.5
2017-01-13 10:34:00,50.83,50.83,50.82,50.82,26,4442,225748.8594
2017-01-13 10:35:00,50.82,50.84,50.82,50.83,39,5100,259239
2017-01-13 10:36:00,50.83,50.85,50.83,50.84,22,4700,238950
2017-01-13 10:37:00,50.84,50.85,50.84,50.85,9,1300,66093
2017-01-13 10:38:00,50.846,50.85,50.8292,50.83,51,9767,496480.8438
2017-01-13 10:39:00,50.83,50.84,50.83,50.83,53,9900,503228.5
2017-01-13 10:40:00,50.84,50.85,50.835,50.84,25,3500,177950.5
2017-01-13 10:41:00,50.84,50.845,50.83,50.83,32,6320,321288.8125
2017-01-13 10:42:00,50.82,50.82,50.8,50.81,45,8102,411686.375
2017-01-13 10:43:00,50.8159,50.8159,50.81,50.81,13,2300,116863.5938
2017-01-13 10:44:00,50.81,50.84,50.81,50.84,24,5060,257166.0469
2017-01-13 10:45:00,50.84,50.86,50.84,50.86,10,1220,62032
2017-01-13 10:46:00,50.8561,50.86,50.85,50.85,12,2035,103492.2031
2017-01-13 10:47:00,50.8469,50.8469,50.8266,50.8266,7,1029,52309.1836
2017-01-13 10:49:00,50.8269,50.8269,50.815,50.815,4,536,27240.6484
2017-01-13 10:50:00,50.81,50.8264,50.8,50.8134,29,5704,289854.9063
2017-01-13 10:51:00,50.81,50.83,50.81,50.83,16,3112,158155.8438
2017-01-13 10:52:00,50.83,50.837,50.83,50.837,6,952,48391.8477
2017-01-13 10:53:00,50.8372,50.8372,50.83,50.83,8,1916,97398.2109
2017-01-13 10:54:00,50.8364,50.84,50.83,50.8367,6,1737,88296.5625
2017-01-13 10:55:00,50.8365,50.85,50.835,50.8468,19,2585,131420.5781
2017-01-13 10:56:00,50.84,50.8467,50.8369,50.8467,18,3940,200312.1875
2017-01-13 10:57:00,50.85,50.86,50.8464,50.85,18,4084,207671.375
2017-01-13 10:58:00,50.8465,50.8699,50.8465,50.8699,8,4051,206025.6719
2017-01-13 10:59:00,50.865,50.87,50.86,50.87,15,4152,211205.1094
2017-01-13 11:00:00,50.8769,50.89,50.8743,50.89,16,2693,137030.0781
2017-01-13 11:01:00,50.89,50.905,50.8868,50.905,18,4235,215531.75
2017-01-13 11:02:00,50.9,50.9,50.8964,50.8999,5,2402,122260.1094
2017-01-13 11:03:00,50.897,50.897,50.8727,50.8727,8,2594,131997.7969
2017-01-13 11:04:00,50.87,50.87,50.86,50.86,32,7994,406593.3125
2017-01-13 11:05:00,50.85,50.85,50.85,50.85,8,2000,101700
2017-01-13 11:06:00,50.84,50.84,50.82,50.82,15,4890,248584.5
2017-01-13 11:07:00,50.815,50.82,50.81,50.81,24,3500,177840.5
2017-01-13 11:08:00,50.81,50.81,50.81,50.81,8,2300,116863
2017-01-13 11:09:00,50.8164,50.82,50.815,50.82,9,1595,81055.2734
2017-01-13 11:10:00,50.8172,50.8172,50.8172,50.8172,1,750,38112.8984
2017-01-13 11:11:00,50.82,50.83,50.82,50.83,10,1000,50822
2017-01-13 11:12:00,50.84,50.84,50.84,50.84,22,6680,339611.1875
2017-01-13 11:13:00,50.83,50.83,50.83,50.83,12,3300,167739
2017-01-13 11:14:00,50.83,50.83,50.82,50.82,32,8887,451651.1563
2017-01-13 11:15:00,50.83,50.84,50.83,50.84,4,400,20334
2017-01-13 11:16:00,50.83,50.83,50.83,50.83,1,200,10166
2017-01-13 11:17:00,50.83,50.83,50.83,50.83,8,800,40664
2017-01-13 11:18:00,50.84,50.84,50.84,50.84,5,500,25420
2017-01-13 11:19:00,50.85,50.85,50.85,50.85,1,100,5085
2017-01-13 11:20:00,50.85,50.85,50.845,50.8499,8,800,40678.4922
2017-01-13 11:21:00,50.849,50.85,50.845,50.85,7,1115,56696.6875
2017-01-13 11:22:00,50.85,50.85,50.84,50.84,5,600,30505
2017-01-13 11:23:00,50.84,50.8563,50.84,50.8563,20,2872,146033.2188
2017-01-13 11:24:00,50.8565,50.86,50.84,50.86,24,4302,218757.9844
2017-01-13 11:25:00,50.86,50.86,50.84,50.84,6,2724,138495.8125
2017-01-13 11:26:00,50.84,50.8567,50.84,50.8567,8,1424,72412.25
2017-01-13 11:27:00,50.8465,50.85,50.84,50.845,9,1599,81300.9531
2017-01-13 11:28:00,50.85,50.85,50.8375,50.84,27,3905,198533.1563
2017-01-13 11:29:00,50.85,50.86,50.85,50.86,10,1100,55941
2017-01-13 11:30:00,50.86,50.865,50.84,50.85,37,9447,480398.4375
2017-01-13 11:31:00,50.86,50.865,50.86,50.865,8,1300,66122
2017-01-13 11:32:00,50.86,50.865,50.85,50.85,14,2700,137311
2017-01-13 11:33:00,50.84,50.845,50.84,50.84,10,1300,66093
2017-01-13 11:34:00,50.8433,50.86,50.841,50.86,6,1233,62694.1172
2017-01-13 11:35:00,50.86,50.86,50.85,50.85,11,1520,77303.2031
2017-01-13 11:36:00,50.85,50.855,50.85,50.855,5,600,30511
2017-01-13 11:37:00,50.85,50.85,50.85,50.85,2,200,10170
2017-01-13 11:38:00,50.85,50.855,50.8457,50.8457,18,4100,208498.5625
2017-01-13 11:39:00,50.85,50.87,50.85,50.87,8,900,45769
2017-01-13 11:40:00,50.87,50.87,50.87,50.87,23,4420,224845.4063
2017-01-13 11:41:00,50.87,50.88,50.87,50.88,4,400,20349
2017-01-13 11:42:00,50.88,50.88,50.88,50.88,1,100,5088
2017-01-13 11:43:00,50.875,50.88,50.875,50.88,9,900,45790.3984
2017-01-13 11:44:00,50.885,50.885,50.88,50.88,9,1700,86497
2017-01-13 11:45:00,50.87,50.875,50.85,50.86,42,7710,392158.0938
2017-01-13 11:46:00,50.8538,50.8538,50.85,50.85,4,935,47545.2617
2017-01-13 11:47:00,50.85,50.8566,50.85,50.85,10,1110,56444.2266
2017-01-13 11:48:00,50.845,50.8565,50.845,50.8565,5,700,35595.8008
2017-01-13 11:49:00,50.85,50.85,50.85,50.85,6,1000,50850
2017-01-13 11:50:00,50.85,50.86,50.85,50.86,22,3655,185878.2969
2017-01-13 11:52:00,50.8501,50.8501,50.835,50.835,45,16299,828746.75
2017-01-13 11:53:00,50.84,50.85,50.84,50.85,16,3096,157401.6406
2017-01-13 11:54:00,50.85,50.87,50.85,50.86,40,13150,668729
2017-01-13 11:55:00,50.86,50.86,50.8559,50.86,15,5020,255305.7188
2017-01-13 11:56:00,50.8672,50.8672,50.84,50.84,6,1636,83210.9766
2017-01-13 11:57:00,50.8401,50.855,50.8401,50.855,18,1957,99515.7422
2017-01-13 11:58:00,50.86,50.86,50.86,50.86,29,4942,251350.125
2017-01-13 11:59:00,50.85,50.85,50.845,50.85,31,5208,264825.8125
2017-01-13 12:00:00,50.85,50.85,50.85,50.85,15,2300,116955
2017-01-13 12:01:00,50.86,50.86,50.85,50.86,12,1350,68657.75
2017-01-13 12:02:00,50.865,50.868,50.86,50.86,3,2850,144972.625
2017-01-13 12:03:00,50.8693,50.87,50.86,50.865,47,9925,504875.3438
2017-01-13 12:04:00,50.86,50.86,50.855,50.8593,8,5885,299303
2017-01-13 12:05:00,50.8599,50.86,50.855,50.8593,10,9911,504056.5625
2017-01-13 12:06:00,50.86,50.87,50.86,50.86,86,17731,901916.25
2017-01-13 12:07:00,50.8585,50.86,50.84,50.84,41,16048,816127.375
2017-01-13 12:08:00,50.84,50.8493,50.835,50.84,22,8572,435842
2017-01-13 12:09:00,50.835,50.84,50.83,50.83,13,9685,492363.125
2017-01-13 12:10:00,50.838,50.84,50.8236,50.8291,30,9425,479107.75
2017-01-13 12:11:00,50.83,50.83,50.82,50.82,24,10875,552741.25
2017-01-13 12:12:00,50.82,50.82,50.81,50.815,12,2750,139746.8125
2017-01-13 12:13:00,50.81,50.81,50.805,50.808,35,10750,546198.625
2017-01-13 12:14:00,50.805,50.82,50.805,50.8199,47,7402,376107.875
2017-01-13 12:15:00,50.819,50.83,50.819,50.8299,17,4206,213775.5
2017-01-13 12:16:00,50.825,50.83,50.825,50.8285,11,6056,307818.9063
2017-01-13 12:17:00,50.82,50.82,50.81,50.81,12,1500,76217
2017-01-13 12:18:00,50.8,50.8,50.795,50.8,18,2689,136596.3125
2017-01-13 12:19:00,50.77,50.77,50.76,50.77,46,7083,359583.9063
2017-01-13 12:20:00,50.77,50.789,50.77,50.789,20,2996,152129.6406
2017-01-13 12:21:00,50.785,50.789,50.785,50.7863,5,1123,57033.7188
2017-01-13 12:22:00,50.78,50.79,50.78,50.78,11,2100,106650
2017-01-13 12:23:00,50.78,50.7999,50.78,50.79,27,3350,170139.4688
2017-01-13 12:24:00,50.78,50.78,50.78,50.78,2,200,10156
2017-01-13 12:25:00,50.78,50.78,50.775,50.78,14,2196,111512.375
2017-01-13 12:26:00,50.78,50.78,50.77,50.78,21,3200,162494.5
2017-01-13 12:27:00,50.79,50.79,50.79,50.79,1,100,5079
2017-01-13 12:28:00,50.78,50.785,50.78,50.78,5,600,30469.5
2017-01-13 12:29:00,50.78,50.785,50.78,50.78,14,2001,101612.7031
2017-01-13 12:30:00,50.78,50.78,50.775,50.775,3,300,15233.5
2017-01-13 12:31:00,50.78,50.78,50.78,50.78,34,6700,340226
2017-01-13 12:32:00,50.78,50.78,50.7759,50.78,19,3325,168841.8438
2017-01-13 12:33:00,50.79,50.79,50.7841,50.79,38,7958,404184.0625
2017-01-13 12:34:00,50.8,50.8,50.79,50.8,14,2700,137149
2017-01-13 12:35:00,50.79,50.79,50.79,50.79,1,100,5079
2017-01-13 12:36:00,50.79,50.79,50.78,50.79,12,1401,71155.7891
2017-01-13 12:37:00,50.79,50.8,50.79,50.79,15,2800,142217.1563
2017-01-13 12:38:00,50.78,50.78,50.78,50.78,3,300,15234
2017-01-13 12:39:00,50.78,50.79,50.78,50.79,4,500,25393
2017-01-13 12:40:00,50.78,50.78,50.77,50.7718,4,487,24726.2148
2017-01-13 12:41:00,50.77,50.77,50.77,50.77,7,900,45693
2017-01-13 12:42:00,50.776,50.78,50.77,50.78,6,600,30466.5996
2017-01-13 12:43:00,50.78,50.78,50.78,50.78,12,1400,71092
2017-01-13 12:44:00,50.77,50.77,50.75,50.75,18,5208,264358.8438
2017-01-13 12:45:00,50.76,50.76,50.75,50.755,15,1568,79580.3438
2017-01-13 12:46:00,50.76,50.7683,50.752,50.76,43,7694,390550.4375
2017-01-13 12:47:00,50.76,50.7628,50.76,50.76,13,2650,134514.4219
2017-01-13 12:48:00,50.76,50.76,50.75,50.755,15,2700,137041
2017-01-13 12:49:00,50.76,50.76,50.74,50.7499,16,2100,106572.9922
2017-01-13 12:50:00,50.745,50.75,50.745,50.75,20,2500,126872.5
