"datetime","open","high","low","close","numEvents","volume","value"
2017-01-11 09:31:00,74.37,74.37,74.16,74.18,1043,212670,15798138
2017-01-11 09:32:00,74.18,74.23,74.15,74.155,466,104894,7783121.5
2017-01-11 09:33:00,74.16,74.24,74.155,74.21,433,88734,6584187
2017-01-11 09:34:00,74.21,74.215,74.11,74.1189,363,71307,5287997
2017-01-11 09:35:00,74.11,74.17,74.1,74.15,231,38141,2827289
2017-01-11 09:36:00,74.15,74.15,74.06,74.1,444,58812,4358074
2017-01-11 09:37:00,74.11,74.21,74.105,74.21,220,29826,2211882.5
2017-01-11 09:38:00,74.2037,74.255,74.2,74.21,227,29001,2152683
2017-01-11 09:39:00,74.21,74.28,74.19,74.27,161,22592,1677184
2017-01-11 09:40:00,74.28,74.36,74.27,74.28,303,51360,3816405
2017-01-11 09:41:00,74.29,74.36,74.28,74.3458,268,53252,3957729.25
2017-01-11 09:42:00,74.34,74.36,74.28,74.29,312,58611,4356899
2017-01-11 09:43:00,74.29,74.36,74.29,74.32,284,43711,3248868.5
2017-01-11 09:44:00,74.32,74.39,74.32,74.39,162,28418,2113026.75
2017-01-11 09:45:00,74.39,74.49,74.37,74.48,476,75898,5649174
2017-01-11 09:46:00,74.48,74.505,74.42,74.42,305,61983,4616530.5
2017-01-11 09:47:00,74.42,74.467,74.39,74.44,146,20489,1524944.75
2017-01-11 09:48:00,74.44,74.48,74.42,74.48,101,12752,949323.5
2017-01-11 09:49:00,74.5,74.5,74.46,74.495,228,28402,2115693.5
2017-01-11 09:50:00,74.495,74.57,74.4737,74.51,546,93937,7000213.5
2017-01-11 09:51:00,74.51,74.51,74.45,74.49,403,75977,5658278.5
2017-01-11 09:52:00,74.49,74.53,74.48,74.53,398,71877,5355466
2017-01-11 09:53:00,74.54,74.56,74.52,74.55,389,50401,3756967.25
2017-01-11 09:54:00,74.54,74.59,74.54,74.565,270,43110,3214496
2017-01-11 09:55:00,74.56,74.57,74.52,74.52,356,64785,4829255.5
2017-01-11 09:56:00,74.52,74.58,74.51,74.58,194,44947,3350184.5
2017-01-11 09:57:00,74.58,74.59,74.56,74.57,95,13058,973814
2017-01-11 09:58:00,74.57,74.59,74.57,74.58,77,19491,1453536.125
2017-01-11 09:59:00,74.58,74.6,74.57,74.57,81,14491,1080887.5
2017-01-11 10:00:00,74.57,74.58,74.52,74.53,179,27851,2076117.375
2017-01-11 10:01:00,74.53,74.54,74.51,74.54,316,47790,3561374.5
2017-01-11 10:02:00,74.53,74.545,74.53,74.545,85,12174,907400.4375
2017-01-11 10:03:00,74.54,74.54,74.51,74.53,256,37566,2799458.75
2017-01-11 10:04:00,74.54,74.5447,74.495,74.5,245,32323,2408577
2017-01-11 10:05:00,74.5,74.51,74.49,74.49,122,18808,1401217.5
2017-01-11 10:06:00,74.49,74.54,74.49,74.54,181,25135,1872671
2017-01-11 10:07:00,74.53,74.53,74.51,74.5261,89,11308,842664.9375
2017-01-11 10:08:00,74.53,74.55,74.53,74.54,152,19227,1433089
2017-01-11 10:09:00,74.54,74.54,74.49,74.5,85,18162,1353297.125
2017-01-11 10:10:00,74.51,74.52,74.46,74.47,101,11907,886826.0625
2017-01-11 10:11:00,74.47,74.519,74.47,74.51,88,10687,796085.875
2017-01-11 10:12:00,74.5169,74.531,74.515,74.52,42,4427,329909.2188
2017-01-11 10:13:00,74.53,74.53,74.485,74.5,97,13098,975880.875
2017-01-11 10:14:00,74.49,74.495,74.42,74.4361,127,16842,1253784.5
2017-01-11 10:15:00,74.44,74.48,74.44,74.45,338,54153,4032248.75
2017-01-11 10:16:00,74.45,74.49,74.4399,74.45,179,23968,1784576.875
2017-01-11 10:17:00,74.45,74.45,74.4,74.41,114,15216,1132405.25
2017-01-11 10:18:00,74.4,74.4264,74.4,74.4,72,8795,654446.9375
2017-01-11 10:19:00,74.4001,74.4221,74.39,74.39,117,19243,1431787
2017-01-11 10:20:00,74.39,74.4025,74.381,74.4,35,4979,370420.0625
2017-01-11 10:21:00,74.4,74.4399,74.4,74.43,45,7044,524190.75
2017-01-11 10:22:00,74.42,74.42,74.375,74.38,60,9653,718102.25
2017-01-11 10:23:00,74.3857,74.405,74.3733,74.405,45,6373,474066.25
2017-01-11 10:24:00,74.4,74.42,74.4,74.42,116,14270,1061873.125
2017-01-11 10:25:00,74.42,74.44,74.42,74.43,169,36343,2704982.25
2017-01-11 10:26:00,74.435,74.47,74.43,74.46,170,25857,1925082.375
2017-01-11 10:27:00,74.45,74.47,74.44,74.46,63,11034,821563.9375
2017-01-11 10:28:00,74.45,74.46,74.43,74.45,59,6802,506404.8125
2017-01-11 10:29:00,74.46,74.48,74.44,74.48,92,18185,1353989.75
2017-01-11 10:30:00,74.4844,74.49,74.255,74.26,385,107448,7988016
2017-01-11 10:31:00,74.255,74.33,74.19,74.28,1342,213617,15861848
2017-01-11 10:32:00,74.275,74.3,74.24,74.275,482,73819,5482431.5
2017-01-11 10:33:00,74.28,74.3,74.15,74.19,793,122829,9115573
2017-01-11 10:34:00,74.19,74.205,74.16,74.17,211,31548,2340285.5
2017-01-11 10:35:00,74.18,74.23,74.17,74.22,261,51329,3808950.25
2017-01-11 10:36:00,74.21,74.3,74.21,74.26,621,91216,6773903.5
2017-01-11 10:37:00,74.27,74.28,74.225,74.25,255,36471,2708020.75
2017-01-11 10:38:00,74.25,74.28,74.245,74.25,128,17508,1300150.375
2017-01-11 10:39:00,74.26,74.35,74.235,74.32,231,31974,2375227.5
2017-01-11 10:40:00,74.32,74.49,74.3,74.49,633,107380,7987462
2017-01-11 10:41:00,74.49,74.58,74.48,74.57,1096,169438,12628957
2017-01-11 10:42:00,74.57,74.6,74.5,74.58,548,83507,6225251
2017-01-11 10:43:00,74.6,74.6,74.53,74.53,449,75190,5607151
2017-01-11 10:44:00,74.53,74.54,74.47,74.4765,153,19798,1475068.625
2017-01-11 10:45:00,74.47,74.52,74.47,74.51,56,7870,586305.6875
2017-01-11 10:46:00,74.52,74.55,74.51,74.52,81,8500,633476
2017-01-11 10:47:00,74.52,74.52,74.465,74.48,682,143516,10692039
2017-01-11 10:48:00,74.4765,74.5,74.411,74.44,147,21454,1597406.625
2017-01-11 10:49:00,74.44,74.44,74.4,74.42,109,12165,905351.3125
2017-01-11 10:50:00,74.42,74.44,74.41,74.4301,56,6343,472057.875
2017-01-11 10:51:00,74.44,74.51,74.44,74.47,114,21098,1571541.75
2017-01-11 10:52:00,74.47,74.485,74.37,74.38,196,27015,2010304.375
2017-01-11 10:53:00,74.38,74.42,74.36,74.41,217,28440,2115465.25
2017-01-11 10:54:00,74.4,74.43,74.4,74.43,76,8102,602930.375
2017-01-11 10:55:00,74.43,74.48,74.43,74.48,99,29550,2200308.25
2017-01-11 10:56:00,74.48,74.48,74.3785,74.39,734,126725,9430467
2017-01-11 10:57:00,74.38,74.43,74.37,74.425,403,54200,4031972
2017-01-11 10:58:00,74.41,74.445,74.41,74.445,54,6878,511961.0313
2017-01-11 10:59:00,74.45,74.455,74.44,74.44,120,13608,1013042.4375
2017-01-11 11:00:00,74.44,74.5,74.43,74.5,113,19120,1423759.25
2017-01-11 11:01:00,74.52,74.61,74.5,74.6,415,68005,5071741
2017-01-11 11:02:00,74.61,74.63,74.57,74.5964,317,44716,3335702
2017-01-11 11:03:00,74.59,74.59,74.5531,74.57,85,11902,887498.3125
2017-01-11 11:04:00,74.58,74.6,74.58,74.59,70,11641,868240.9375
2017-01-11 11:05:00,74.6,74.66,74.595,74.64,200,36703,2739225.75
2017-01-11 11:06:00,74.635,74.71,74.635,74.71,115,16438,1227607.5
2017-01-11 11:07:00,74.71,74.72,74.68,74.695,188,25036,1870198.625
2017-01-11 11:08:00,74.7,74.705,74.63,74.64,174,22200,1657592.625
2017-01-11 11:09:00,74.64,74.66,74.58,74.5965,226,39262,2929579
2017-01-11 11:10:00,74.59,74.645,74.59,74.62,125,16268,1213913.5
2017-01-11 11:11:00,74.61,74.63,74.59,74.62,178,20868,1557113.75
2017-01-11 11:12:00,74.62,74.626,74.555,74.56,202,26119,1948233.875
2017-01-11 11:13:00,74.56,74.58,74.555,74.56,61,8921,665175.75
2017-01-11 11:14:00,74.56,74.595,74.55,74.595,133,15900,1185536
2017-01-11 11:15:00,74.595,74.65,74.595,74.641,141,18237,1360911.625
2017-01-11 11:16:00,74.65,74.72,74.65,74.71,260,36484,2725287.75
2017-01-11 11:17:00,74.71,74.73,74.7,74.71,212,45634,3409857
2017-01-11 11:18:00,74.71,74.7392,74.7,74.72,110,15019,1122211
2017-01-11 11:19:00,74.72,74.72,74.69,74.72,59,7856,586891.9375
2017-01-11 11:20:00,74.72,74.75,74.6844,74.71,179,29155,2178464.75
2017-01-11 11:21:00,74.72,74.75,74.67,74.69,263,34792,2599352.75
2017-01-11 11:22:00,74.7,74.77,74.7,74.75,217,30657,2291136.75
2017-01-11 11:23:00,74.75,74.7608,74.6468,74.67,218,26035,1944737.625
2017-01-11 11:24:00,74.67,74.71,74.66,74.69,93,10944,817452.625
2017-01-11 11:25:00,74.69,74.715,74.62,74.62,192,26132,1950814.125
2017-01-11 11:26:00,74.62,74.66,74.61,74.64,151,17807,1329160.625
2017-01-11 11:27:00,74.645,74.69,74.64,74.69,69,8700,649553.5
2017-01-11 11:28:00,74.7,74.74,74.69,74.69,153,21900,1636221.5
2017-01-11 11:29:00,74.69,74.69,74.58,74.59,468,68696,5126490.5
2017-01-11 11:30:00,74.605,74.605,74.57,74.6,181,55156,4113616
2017-01-11 11:31:00,74.61,74.61,74.48,74.52,218,36003,2683071.25
2017-01-11 11:32:00,74.53,74.61,74.53,74.605,177,25502,1901833.5
2017-01-11 11:33:00,74.6,74.6,74.47,74.47,190,30725,2290497.25
2017-01-11 11:34:00,74.46,74.51,74.44,74.505,100,12796,952917
2017-01-11 11:35:00,74.505,74.54,74.5,74.52,181,26695,1989361.5
2017-01-11 11:36:00,74.52,74.52,74.5,74.5,42,14702,1095327
2017-01-11 11:37:00,74.495,74.495,74.4,74.48,151,27637,2057181.5
2017-01-11 11:38:00,74.47,74.48,74.38,74.39,207,35879,2669903.5
