"datetime","open","high","low","close","numEvents","volume","value"
2017-01-11 09:31:00,23.46,23.46,23.42,23.42,823,643383,15082486
2017-01-11 09:32:00,23.42,23.42,23.37,23.3769,438,272775,6380140
2017-01-11 09:33:00,23.37,23.37,23.34,23.36,273,218335,5099650.5
2017-01-11 09:34:00,23.36,23.36,23.33,23.335,282,211595,4938960.5
2017-01-11 09:35:00,23.335,23.375,23.33,23.36,196,131891,3080807.5
2017-01-11 09:36:00,23.36,23.36,23.33,23.34,169,122901,2868891.75
2017-01-11 09:37:00,23.33,23.3652,23.33,23.36,250,120453,2812737.5
2017-01-11 09:38:00,23.3537,23.3653,23.345,23.35,192,137073,3201503
2017-01-11 09:39:00,23.345,23.35,23.33,23.335,109,37534,876057.1875
2017-01-11 09:40:00,23.34,23.36,23.33,23.355,302,198932,4644504
2017-01-11 09:41:00,23.35,23.3799,23.33,23.37,548,1132421,26441426
2017-01-11 09:42:00,23.36,23.39,23.35,23.389,168,215587,5038063
2017-01-11 09:43:00,23.39,23.4068,23.38,23.4,375,453047,10599464
2017-01-11 09:44:00,23.4,23.41,23.39,23.41,147,126064,2949739.25
2017-01-11 09:45:00,23.4,23.405,23.38,23.39,289,485214,11349732
2017-01-11 09:46:00,23.39,23.409,23.38,23.4,217,163087,3815170.75
2017-01-11 09:47:00,23.39,23.41,23.39,23.41,176,92405,2162028.25
2017-01-11 09:48:00,23.405,23.42,23.4,23.4,264,290604,6805146.5
2017-01-11 09:49:00,23.4,23.4362,23.4,23.43,108,73816,1728783.125
2017-01-11 09:50:00,23.43,23.44,23.42,23.425,361,530550,12431380
2017-01-11 09:51:00,23.4201,23.43,23.41,23.41,214,211292,4948519
2017-01-11 09:52:00,23.41,23.42,23.41,23.41,82,13066,305911.1875
2017-01-11 09:53:00,23.42,23.4355,23.41,23.435,244,160106,3750131.75
2017-01-11 09:54:00,23.43,23.4399,23.41,23.42,205,152871,3580567.25
2017-01-11 09:55:00,23.425,23.445,23.42,23.44,206,353903,8294668.5
2017-01-11 09:56:00,23.439,23.45,23.43,23.45,170,237665,5571860.5
2017-01-11 09:57:00,23.445,23.45,23.44,23.44,102,24629,577367.5625
2017-01-11 09:58:00,23.445,23.445,23.43,23.44,119,45493,1066322.375
2017-01-11 09:59:00,23.44,23.45,23.44,23.45,70,28268,662826.4375
2017-01-11 10:00:00,23.445,23.465,23.44,23.455,326,494296,11592981
2017-01-11 10:01:00,23.4599,23.4599,23.44,23.445,163,112730,2643720.25
2017-01-11 10:02:00,23.44,23.458,23.44,23.44,199,149524,3506233.75
2017-01-11 10:03:00,23.445,23.45,23.44,23.445,45,21186,496665.7188
2017-01-11 10:04:00,23.445,23.45,23.44,23.445,42,12952,303678.2188
2017-01-11 10:05:00,23.445,23.45,23.43,23.43,139,78113,1830997.375
