"datetime","open","high","low","close","numEvents","volume","value"
2017-01-18 09:31:00,62.64,62.67,62.59,62.64,211,74376,4658971
2017-01-18 09:32:00,62.63,62.68,62.61,62.66,54,9555,598556.625
2017-01-18 09:33:00,62.6688,62.7,62.65,62.68,123,22588,1415774.5
2017-01-18 09:34:00,62.69,62.71,62.67,62.7,426,103275,6474573.5
2017-01-18 09:35:00,62.69,62.69,62.62,62.63,274,75061,4702642.5
2017-01-18 09:36:00,62.63,62.64,62.51,62.56,367,124421,7783871
2017-01-18 09:37:00,62.56,62.61,62.5508,62.61,317,125090,7828124.5
2017-01-18 09:38:00,62.6199,62.67,62.6,62.66,140,38387,2404472.5
2017-01-18 09:39:00,62.67,62.69,62.64,62.645,240,70586,4423419.5
2017-01-18 09:40:00,62.65,62.69,62.65,62.69,82,20464,1282521.75
2017-01-18 09:41:00,62.69,62.81,62.68,62.785,443,102535,6436013.5
2017-01-18 09:42:00,62.79,62.79,62.73,62.74,245,61883,3882966.25
2017-01-18 09:43:00,62.73,62.77,62.72,62.76,65,15800,991417.125
2017-01-18 09:44:00,62.76,62.83,62.76,62.81,317,66586,4181347.5
2017-01-18 09:45:00,62.81,62.81,62.76,62.78,168,41186,2586115.5
2017-01-18 09:46:00,62.785,62.8,62.78,62.785,189,28315,1777920.125
2017-01-18 09:47:00,62.79,62.81,62.785,62.79,79,13600,854010.5
2017-01-18 09:48:00,62.8,62.85,62.8,62.835,193,51204,3217407.75
2017-01-18 09:49:00,62.84,62.84,62.81,62.815,55,34241,2151257.75
2017-01-18 09:50:00,62.81,62.81,62.77,62.77,52,26005,1632883.625
2017-01-18 09:51:00,62.77,62.78,62.77,62.78,52,9800,615190
2017-01-18 09:52:00,62.77,62.8,62.7541,62.79,70,12421,779918
2017-01-18 09:53:00,62.79,62.815,62.79,62.81,68,10793,677828.125
2017-01-18 09:54:00,62.81,62.813,62.795,62.81,34,5241,329170.8438
2017-01-18 09:55:00,62.82,62.82,62.7958,62.8,47,9013,566047.8125
2017-01-18 09:56:00,62.81,62.83,62.805,62.809,26,2959,185869.1406
2017-01-18 09:57:00,62.81,62.82,62.81,62.8126,153,43593,2738467.5
2017-01-18 09:58:00,62.82,62.84,62.82,62.83,59,14564,915012.125
2017-01-18 09:59:00,62.83,62.85,62.82,62.825,190,72833,4576724.5
2017-01-18 10:00:00,62.82,62.8599,62.82,62.8599,133,39210,2463863
2017-01-18 10:01:00,62.8559,62.87,62.84,62.865,89,21386,1344225.875
2017-01-18 10:02:00,62.86,62.879,62.8566,62.879,22,3200,201164.7813
2017-01-18 10:03:00,62.88,62.9,62.875,62.9,59,14391,905111.375
2017-01-18 10:04:00,62.9,62.9,62.895,62.9,25,3300,207569.5
2017-01-18 10:05:00,62.89,62.9,62.88,62.88,104,21602,1358541.75
2017-01-18 10:06:00,62.88,62.89,62.87,62.885,434,221417,13920911
2017-01-18 10:07:00,62.885,62.8861,62.85,62.855,144,37069,2330443
2017-01-18 10:08:00,62.85,62.86,62.8234,62.83,204,61063,3836658.5
2017-01-18 10:09:00,62.83,62.85,62.825,62.83,147,32520,2043347.375
2017-01-18 10:10:00,62.83,62.83,62.825,62.825,12,2800,175923.5
2017-01-18 10:11:00,62.825,62.83,62.82,62.82,248,48662,3057230.75
2017-01-18 10:12:00,62.82,62.82,62.75,62.78,200,69292,4349703
2017-01-18 10:13:00,62.79,62.79,62.77,62.77,165,60184,3778397
2017-01-18 10:14:00,62.775,62.83,62.77,62.82,379,134466,8444096
2017-01-18 10:15:00,62.82,62.82,62.8072,62.82,117,39553,2484400
2017-01-18 10:16:00,62.82,62.83,62.8101,62.82,408,110404,6935574.5
2017-01-18 10:17:00,62.82,62.82,62.8001,62.82,150,47053,2955483.25
2017-01-18 10:18:00,62.82,62.84,62.8166,62.84,40,6110,383846.9688
2017-01-18 10:19:00,62.85,62.87,62.84,62.87,33,4510,283463.1563
2017-01-18 10:20:00,62.865,62.87,62.83,62.83,108,20042,1259695.375
2017-01-18 10:21:00,62.82,62.84,62.81,62.83,92,15981,1003935.3125
2017-01-18 10:22:00,62.83,62.87,62.8286,62.85,68,12236,768962.5625
2017-01-18 10:23:00,62.85,62.87,62.835,62.835,73,15297,961444.9375
2017-01-18 10:24:00,62.84,62.86,62.83,62.855,88,16930,1064013.75
2017-01-18 10:25:00,62.855,62.865,62.845,62.85,63,10800,678845
2017-01-18 10:26:00,62.84,62.84,62.78,62.79,59,17853,1121097.25
2017-01-18 10:27:00,62.785,62.82,62.785,62.81,59,7408,465200.4063
2017-01-18 10:28:00,62.8,62.825,62.8,62.825,57,15442,969928.3125
2017-01-18 10:29:00,62.825,62.83,62.795,62.8,128,31235,1962225.5
2017-01-18 10:30:00,62.81,62.82,62.81,62.81,44,8166,512913.4688
2017-01-18 10:31:00,62.82,62.82,62.8,62.82,42,9074,569960.4375
2017-01-18 10:32:00,62.82,62.8361,62.82,62.8361,16,1825,114661.2031
2017-01-18 10:33:00,62.83,62.87,62.83,62.87,54,5600,351921.5
2017-01-18 10:34:00,62.86,62.87,62.85,62.85,284,69845,4390417.5
2017-01-18 10:35:00,62.85,62.87,62.85,62.87,45,8000,502831
2017-01-18 10:36:00,62.87,62.89,62.87,62.89,80,14830,932433.1875
2017-01-18 10:37:00,62.9,62.905,62.89,62.9,37,6475,407279.7813
2017-01-18 10:38:00,62.89,62.91,62.89,62.91,43,7826,492243.75
2017-01-18 10:39:00,62.91,62.92,62.91,62.915,70,12717,800093.125
2017-01-18 10:40:00,62.91,62.93,62.91,62.9142,128,27686,1741989.125
2017-01-18 10:41:00,62.92,62.92,62.88,62.88,43,6594,414765.7813
2017-01-18 10:42:00,62.88,62.8899,62.875,62.8899,32,4339,272836.5938
2017-01-18 10:43:00,62.88,62.89,62.8748,62.885,65,9881,621365.0625
2017-01-18 10:44:00,62.885,62.9,62.88,62.9,30,7000,440180.5
2017-01-18 10:45:00,62.9,62.91,62.86,62.8657,78,13432,844626.3125
2017-01-18 10:46:00,62.87,62.89,62.86,62.8763,80,13348,839403.8125
2017-01-18 10:47:00,62.87,62.88,62.869,62.88,34,4966,312239.625
2017-01-18 10:48:00,62.87,62.88,62.87,62.87,48,9662,607532.75
2017-01-18 10:49:00,62.87,62.885,62.8399,62.84,948,313619,19712266
2017-01-18 10:50:00,62.835,62.86,62.835,62.85,102,22144,1391763.625
2017-01-18 10:51:00,62.85,62.86,62.84,62.855,62,13849,870376.5625
2017-01-18 10:52:00,62.856,62.87,62.85,62.87,30,7086,445478.5938
2017-01-18 10:53:00,62.86,62.87,62.855,62.87,72,12778,803248.625
2017-01-18 10:54:00,62.866,62.87,62.86,62.86,23,3343,210153.3906
