"datetime","open","high","low","close","numEvents","volume","value"
2017-01-19 09:31:00,52.37,52.37,52.22,52.29,283,88559,4633386.5
2017-01-19 09:32:00,52.3,52.31,52.26,52.26,90,19771,1033496
2017-01-19 09:33:00,52.25,52.28,52.25,52.28,205,73227,3826743.25
2017-01-19 09:34:00,52.28,52.29,52.27,52.27,64,18445,964402.3125
2017-01-19 09:35:00,52.27,52.28,52.26,52.27,107,48653,2543419.25
2017-01-19 09:36:00,52.27,52.305,52.2699,52.3,220,92871,4855952
2017-01-19 09:37:00,52.3,52.31,52.27,52.27,234,70464,3684902.75
2017-01-19 09:38:00,52.2799,52.285,52.26,52.28,95,35180,1838989
2017-01-19 09:39:00,52.28,52.28,52.26,52.26,82,34268,1791441
2017-01-19 09:40:00,52.26,52.26,52.26,52.26,116,50332,2630350.25
2017-01-19 09:41:00,52.27,52.29,52.27,52.29,53,11142,582519.875
2017-01-19 09:42:00,52.3,52.31,52.295,52.3,128,41886,2190701.25
2017-01-19 09:43:00,52.31,52.34,52.31,52.34,46,12928,676362.375
2017-01-19 09:44:00,52.34,52.34,52.33,52.34,32,25314,1324895.375
2017-01-19 09:45:00,52.3359,52.345,52.33,52.34,102,22496,1177446
2017-01-19 09:46:00,52.34,52.34,52.32,52.32,123,44710,2339558.25
2017-01-19 09:47:00,52.32,52.34,52.3195,52.33,119,43134,2257352.5
2017-01-19 09:48:00,52.33,52.34,52.32,52.32,106,25580,1338524
2017-01-19 09:49:00,52.325,52.325,52.31,52.32,34,19700,1030692.5
2017-01-19 09:50:00,52.31,52.31,52.2868,52.3,90,44682,2336700.75
2017-01-19 09:51:00,52.3,52.3,52.29,52.29,5,650,33993.8008
2017-01-19 09:52:00,52.3,52.3058,52.3,52.3,113,68809,3598723.75
2017-01-19 09:53:00,52.3,52.31,52.3,52.3,17,1940,101470
2017-01-19 09:54:00,52.3,52.3067,52.3,52.3,100,41425,2166529
2017-01-19 09:55:00,52.3,52.345,52.295,52.345,262,148030,7744427
2017-01-19 09:56:00,52.345,52.37,52.345,52.35,288,185607,9717964
2017-01-19 09:57:00,52.35,52.37,52.34,52.34,106,35805,1874604.75
2017-01-19 09:58:00,52.34,52.35,52.3399,52.34,142,54564,2855891.25
2017-01-19 09:59:00,52.34,52.34,52.32,52.32,148,59826,3131087.5
2017-01-19 10:00:00,52.32,52.33,52.32,52.32,42,17079,893574.25
2017-01-19 10:01:00,52.3201,52.37,52.32,52.36,213,106924,5597575.5
2017-01-19 10:02:00,52.36,52.37,52.355,52.355,111,56290,2947421.5
2017-01-19 10:03:00,52.35,52.35,52.34,52.34,73,36400,1905468
2017-01-19 10:04:00,52.34,52.34,52.33,52.33,59,15798,826863.8125
2017-01-19 10:05:00,52.34,52.35,52.33,52.33,195,95580,5003131
2017-01-19 10:06:00,52.33,52.34,52.31,52.31,103,22801,1193008
2017-01-19 10:07:00,52.32,52.34,52.3,52.32,300,152838,7997160.5
2017-01-19 10:08:00,52.32,52.33,52.32,52.33,92,26632,1393387.25
2017-01-19 10:09:00,52.32,52.32,52.31,52.32,33,10230,535224.8125
2017-01-19 10:10:00,52.31,52.32,52.31,52.31,11,1633,85434.0625
2017-01-19 10:11:00,52.32,52.325,52.31,52.315,257,109224,5714418
2017-01-19 10:12:00,52.315,52.33,52.31,52.325,137,37678,1971149.25
2017-01-19 10:13:00,52.325,52.33,52.31,52.31,145,56824,2972912.75
2017-01-19 10:14:00,52.31,52.31,52.29,52.29,69,15500,810672.5625
2017-01-19 10:15:00,52.29,52.295,52.29,52.29,50,15508,810914.75
2017-01-19 10:16:00,52.29,52.29,52.28,52.28,256,50715,2651784
2017-01-19 10:17:00,52.28,52.28,52.27,52.27,277,63773,3333926.25
2017-01-19 10:18:00,52.28,52.285,52.27,52.27,82,26860,1404187.75
2017-01-19 10:19:00,52.2758,52.28,52.275,52.275,10,1400,73189.6563
2017-01-19 10:20:00,52.28,52.29,52.26,52.265,115,42800,2237477.75
2017-01-19 10:21:00,52.26,52.26,52.25,52.25,283,164807,8611856
2017-01-19 10:22:00,52.25,52.25,52.245,52.245,100,37300,1948924
2017-01-19 10:23:00,52.24,52.2433,52.24,52.24,5,1512,78987.25
2017-01-19 10:24:00,52.24,52.255,52.24,52.255,56,22780,1190187.25
2017-01-19 10:25:00,52.2599,52.265,52.25,52.265,20,19380,1012679.5625
2017-01-19 10:26:00,52.265,52.27,52.255,52.27,67,29084,1519936.25
2017-01-19 10:27:00,52.27,52.275,52.26,52.275,46,18800,982601
2017-01-19 10:28:00,52.28,52.285,52.28,52.28,62,35200,1840256.5
2017-01-19 10:29:00,52.275,52.275,52.255,52.255,169,49700,2597681.5
2017-01-19 10:30:00,52.26,52.26,52.25,52.25,59,23320,1218592.75
2017-01-19 10:31:00,52.25,52.25,52.2442,52.2442,31,6108,319141.9063
2017-01-19 10:32:00,52.24,52.24,52.23,52.23,94,22030,1150736
2017-01-19 10:33:00,52.23,52.23,52.225,52.23,18,3967,207195.9063
2017-01-19 10:34:00,52.2201,52.24,52.22,52.22,67,32195,1681539.625
2017-01-19 10:35:00,52.23,52.245,52.23,52.245,46,19529,1020122.6875
2017-01-19 10:36:00,52.245,52.25,52.24,52.245,9,15365,802671.9375
2017-01-19 10:37:00,52.24,52.265,52.24,52.265,174,98458,5144989.5
2017-01-19 10:38:00,52.27,52.2775,52.2639,52.27,156,70001,3658962.75
2017-01-19 10:39:00,52.275,52.28,52.2742,52.2742,5,549,28699.3555
2017-01-19 10:40:00,52.28,52.29,52.275,52.29,109,100860,5273094
2017-01-19 10:41:00,52.29,52.29,52.27,52.27,176,47608,2488906.5
2017-01-19 10:42:00,52.2653,52.27,52.26,52.261,29,8043,420342.6563
2017-01-19 10:43:00,52.27,52.27,52.2653,52.27,8,904,47251.582
2017-01-19 10:44:00,52.27,52.27,52.2633,52.2699,9,1168,61048.6563
2017-01-19 10:45:00,52.27,52.28,52.27,52.28,43,11672,610175.125
2017-01-19 10:46:00,52.28,52.28,52.28,52.28,39,8513,445059.625
2017-01-19 10:47:00,52.28,52.29,52.27,52.29,71,32959,1722862.5
2017-01-19 10:48:00,52.285,52.29,52.27,52.2763,119,42109,2201450.5
2017-01-19 10:49:00,52.28,52.29,52.2729,52.29,19,5890,307927.9375
2017-01-19 10:50:00,52.29,52.3,52.285,52.3,47,24680,1290654.25
2017-01-19 10:51:00,52.3,52.3,52.2917,52.3,9,1130,59097.2578
2017-01-19 10:52:00,52.3,52.32,52.2917,52.32,67,28468,1488995
2017-01-19 10:53:00,52.32,52.33,52.32,52.33,62,10443,546449.4375
2017-01-19 10:54:00,52.33,52.33,52.3232,52.3232,37,8109,424343.2188
2017-01-19 10:55:00,52.33,52.33,52.33,52.33,40,8269,432716.7813
2017-01-19 10:56:00,52.33,52.33,52.31,52.33,349,156548,8190652.5
2017-01-19 10:57:00,52.325,52.34,52.32,52.33,53,17005,889880.1875
2017-01-19 10:58:00,52.335,52.34,52.33,52.335,106,19400,1015207.5
2017-01-19 10:59:00,52.33,52.34,52.33,52.335,38,14891,779252.5
2017-01-19 11:00:00,52.335,52.335,52.305,52.305,120,24682,1291417.125
2017-01-19 11:01:00,52.305,52.305,52.29,52.29,39,7500,392249.8125
2017-01-19 11:02:00,52.29,52.29,52.27,52.27,60,19956,1043432.25
2017-01-19 11:03:00,52.27,52.28,52.27,52.2701,13,3209,167740.7188
2017-01-19 11:04:00,52.27,52.28,52.255,52.28,252,93245,4873868.5
2017-01-19 11:05:00,52.28,52.285,52.25,52.2599,147,58183,3041006.5
2017-01-19 11:06:00,52.26,52.28,52.26,52.28,61,14961,782044.1875
2017-01-19 11:07:00,52.275,52.28,52.275,52.275,4,800,41820.5
2017-01-19 11:08:00,52.28,52.28,52.27,52.27,219,66135,3456883.75
2017-01-19 11:09:00,52.2773,52.285,52.275,52.275,73,26552,1388139.75
2017-01-19 11:10:00,52.2701,52.275,52.26,52.26,39,14434,754462.25
2017-01-19 11:11:00,52.26,52.2632,52.255,52.2558,34,5206,272062.4688
2017-01-19 11:12:00,52.255,52.29,52.255,52.29,74,36802,1923872.5
2017-01-19 11:13:00,52.28,52.28,52.27,52.28,43,9578,500719.7188
2017-01-19 11:14:00,52.27,52.28,52.27,52.28,43,14307,747968.9375
2017-01-19 11:15:00,52.28,52.28,52.28,52.28,50,10330,540052.375
2017-01-19 11:16:00,52.28,52.2868,52.28,52.28,41,28780,1504623.75
2017-01-19 11:17:00,52.28,52.28,52.27,52.27,6,740,38685.3125
2017-01-19 11:18:00,52.28,52.29,52.275,52.29,33,11790,616472.6875
2017-01-19 11:19:00,52.285,52.285,52.28,52.28,61,30222,1580016.125
2017-01-19 11:20:00,52.27,52.27,52.26,52.26,29,4900,256114.5
2017-01-19 11:21:00,52.2642,52.31,52.2642,52.27,84,1016067,53148964
2017-01-19 11:22:00,52.28,52.3149,52.28,52.31,435,229177,11984837
2017-01-19 11:23:00,52.31,52.325,52.31,52.32,345,178651,9346258
2017-01-19 11:24:00,52.32,52.32,52.305,52.305,57,25360,1326647.625
2017-01-19 11:25:00,52.305,52.305,52.29,52.295,55,21510,1124900.875
2017-01-19 11:26:00,52.29,52.295,52.285,52.29,56,17201,899433.5625
2017-01-19 11:27:00,52.29,52.29,52.28,52.29,14,2200,115034
2017-01-19 11:28:00,52.285,52.29,52.28,52.285,64,26504,1385735.125
