"datetime","open","high","low","close","numEvents","volume","value"
2017-01-05 09:31:00,48.74,48.76,48.63,48.64,548,229587,11186622
2017-01-05 09:32:00,48.63,48.665,48.5,48.55,634,177941,8646698
2017-01-05 09:33:00,48.55,48.58,48.52,48.5792,181,46203,2243276.25
2017-01-05 09:34:00,48.565,48.565,48.49,48.495,154,27305,1324906.25
2017-01-05 09:35:00,48.5,48.505,48.47,48.48,184,44981,2181120.5
2017-01-05 09:36:00,48.48,48.485,48.3,48.31,678,156158,7555501
2017-01-05 09:37:00,48.32,48.36,48.32,48.32,483,128777,6224645.5
2017-01-05 09:38:00,48.33,48.35,48.27,48.28,564,155700,7522622.5
2017-01-05 09:39:00,48.27,48.3025,48.21,48.275,520,136886,6606934.5
2017-01-05 09:40:00,48.28,48.28,48.245,48.2486,219,69624,3360839
2017-01-05 09:41:00,48.245,48.29,48.235,48.26,234,67824,3272635.25
2017-01-05 09:42:00,48.26,48.26,48.2,48.2067,65,21444,1034151.75
2017-01-05 09:43:00,48.205,48.21,48.16,48.18,313,82313,3966212.25
2017-01-05 09:44:00,48.17,48.195,48.1655,48.19,178,50778,2446408.5
2017-01-05 09:45:00,48.18,48.22,48.18,48.21,198,42447,2045724.5
2017-01-05 09:46:00,48.21,48.22,48.1856,48.19,144,36546,1761856.125
2017-01-05 09:47:00,48.2,48.26,48.19,48.221,268,80748,3894924
2017-01-05 09:48:00,48.22,48.25,48.19,48.2458,290,79197,3818689.5
2017-01-05 09:49:00,48.25,48.25,48.22,48.24,175,47741,2303059
2017-01-05 09:50:00,48.24,48.24,48.19,48.19,91,16501,795547.75
2017-01-05 09:51:00,48.19,48.2159,48.19,48.2,101,22598,1089294.75
2017-01-05 09:52:00,48.2,48.23,48.2,48.21,271,167269,8066329.5
2017-01-05 09:53:00,48.21,48.24,48.2,48.24,373,82400,3972469.5
2017-01-05 09:54:00,48.23,48.25,48.23,48.24,346,78342,3779217
2017-01-05 09:55:00,48.2359,48.26,48.21,48.26,503,166227,8017355.5
2017-01-05 09:56:00,48.25,48.3,48.25,48.3,418,152946,7383079
2017-01-05 09:57:00,48.29,48.33,48.28,48.305,721,236967,11447108
2017-01-05 09:58:00,48.3,48.325,48.28,48.28,252,61276,2960018.5
2017-01-05 09:59:00,48.28,48.28,48.235,48.27,132,36570,1764860.125
2017-01-05 10:00:00,48.28,48.28,48.24,48.24,76,13411,647069.3125
2017-01-05 10:01:00,48.23,48.23,48.22,48.2288,59,13899,670294.6875
2017-01-05 10:02:00,48.23,48.28,48.23,48.28,173,37542,1811293.375
2017-01-05 10:03:00,48.29,48.29,48.26,48.28,151,29289,1413983.125
2017-01-05 10:04:00,48.29,48.29,48.24,48.261,266,59295,2862158.5
2017-01-05 10:05:00,48.27,48.295,48.26,48.28,151,35563,1717057.75
2017-01-05 10:06:00,48.28,48.34,48.28,48.335,648,315395,15238830
2017-01-05 10:07:00,48.33,48.36,48.33,48.35,215,59274,2865503
2017-01-05 10:08:00,48.3563,48.365,48.32,48.34,192,44091,2131998.25
2017-01-05 10:09:00,48.35,48.35,48.29,48.29,112,23726,1146182.5
2017-01-05 10:10:00,48.2969,48.34,48.291,48.33,285,73196,3537270
2017-01-05 10:11:00,48.33,48.34,48.31,48.32,74,17213,831861.75
2017-01-05 10:12:00,48.32,48.33,48.3,48.32,223,64503,3116303
2017-01-05 10:13:00,48.31,48.33,48.29,48.33,180,39781,1921676.5
2017-01-05 10:14:00,48.32,48.345,48.31,48.31,99,21842,1055663.5
2017-01-05 10:15:00,48.3,48.315,48.28,48.28,427,139257,6724486.5
2017-01-05 10:16:00,48.2757,48.2757,48.265,48.27,44,11632,561475.6875
2017-01-05 10:17:00,48.275,48.28,48.25,48.25,105,22935,1106877
2017-01-05 10:18:00,48.25,48.26,48.23,48.25,108,57914,2794161.5
2017-01-05 10:19:00,48.2556,48.26,48.25,48.26,31,5703,275220.25
2017-01-05 10:20:00,48.27,48.315,48.27,48.31,77,17121,826879.8125
2017-01-05 10:21:00,48.32,48.35,48.32,48.34,97,20200,976478.625
2017-01-05 10:22:00,48.34,48.345,48.29,48.3,77,14893,719505.875
2017-01-05 10:23:00,48.3,48.32,48.3,48.32,50,8975,433578
2017-01-05 10:24:00,48.33,48.33,48.29,48.29,36,7368,355880.9688
2017-01-05 10:25:00,48.29,48.29,48.28,48.29,17,6128,295893.125
2017-01-05 10:26:00,48.29,48.3,48.27,48.27,92,23681,1143383.125
2017-01-05 10:27:00,48.28,48.29,48.28,48.29,38,8625,416465.3438
2017-01-05 10:28:00,48.3,48.32,48.3,48.31,90,22421,1083303
2017-01-05 10:29:00,48.305,48.34,48.305,48.34,67,14076,680321.6875
