"datetime","open","high","low","close","numEvents","volume","value"
2017-01-17 09:31:00,70.48,70.59,70.43,70.44,498,165665,11679526
2017-01-17 09:32:00,70.44,70.45,70.36,70.39,246,70961,4995469.5
2017-01-17 09:33:00,70.4,70.405,70.3,70.3,332,76210,5362964
2017-01-17 09:34:00,70.31,70.35,70.27,70.31,417,70832,4980539
2017-01-17 09:35:00,70.3,70.32,70.23,70.24,185,33023,2320740.5
2017-01-17 09:36:00,70.25,70.285,70.12,70.12,809,158321,11109390
2017-01-17 09:37:00,70.12,70.16,70.09,70.09,335,57879,4058630
2017-01-17 09:38:00,70.1,70.12,70.07,70.07,248,43310,3035892.5
2017-01-17 09:39:00,70.07,70.08,70.02,70.03,244,44351,3106487.5
2017-01-17 09:40:00,70.03,70.08,69.98,70.07,370,66499,4657016.5
2017-01-17 09:41:00,70.07,70.07,69.99,69.99,413,63575,4452911
2017-01-17 09:42:00,69.99,70.06,69.99,70.06,208,79326,5555151.5
2017-01-17 09:43:00,70.06,70.08,70.03,70.07,338,64053,4487282
2017-01-17 09:44:00,70.0699,70.12,70.06,70.11,241,34691,2431481.5
2017-01-17 09:45:00,70.11,70.11,70.05,70.1,458,78752,5519059.5
2017-01-17 09:46:00,70.1,70.11,70.05,70.1,280,38189,2676424.25
2017-01-17 09:47:00,70.1,70.13,70.099,70.12,204,35465,2486781
2017-01-17 09:48:00,70.12,70.13,70.1,70.11,333,52283,3665637.25
2017-01-17 09:49:00,70.115,70.19,70.11,70.19,190,33095,2322058.5
2017-01-17 09:50:00,70.2,70.295,70.2,70.28,350,49317,3464393
2017-01-17 09:51:00,70.28,70.3,70.27,70.3,166,23040,1619451
2017-01-17 09:52:00,70.3,70.3,70.265,70.28,165,21695,1524806.375
2017-01-17 09:53:00,70.28,70.31,70.271,70.31,95,14393,1011631.625
2017-01-17 09:54:00,70.31,70.35,70.31,70.34,146,22732,1598954.875
2017-01-17 09:55:00,70.34,70.37,70.3232,70.3647,121,18209,1280810.125
2017-01-17 09:56:00,70.3623,70.38,70.355,70.36,89,18526,1303545.25
2017-01-17 09:57:00,70.36,70.36,70.3,70.31,188,31354,2204927
2017-01-17 09:58:00,70.31,70.33,70.3025,70.32,69,9550,671543.875
2017-01-17 09:59:00,70.31,70.33,70.29,70.31,171,28741,2020757.5
2017-01-17 10:00:00,70.31,70.31,70.225,70.23,210,35203,2473283.25
2017-01-17 10:01:00,70.23,70.26,70.23,70.25,257,41168,2891711.5
2017-01-17 10:02:00,70.24,70.27,70.23,70.24,324,53193,3736492.75
2017-01-17 10:03:00,70.23,70.27,70.23,70.26,138,17105,1201664.75
2017-01-17 10:04:00,70.27,70.29,70.26,70.28,87,12884,905305.375
2017-01-17 10:05:00,70.2831,70.2833,70.225,70.23,115,15280,1073541.625
2017-01-17 10:06:00,70.23,70.24,70.19,70.19,86,13389,940017.5625
2017-01-17 10:07:00,70.18,70.215,70.18,70.2,148,24127,1693453.25
2017-01-17 10:08:00,70.2,70.24,70.19,70.24,115,15992,1122859.25
2017-01-17 10:09:00,70.23,70.3,70.23,70.27,264,42425,2981350.25
2017-01-17 10:10:00,70.27,70.275,70.22,70.2536,238,38656,2715430.5
2017-01-17 10:11:00,70.26,70.3,70.24,70.3,283,53420,3754004.5
2017-01-17 10:12:00,70.31,70.3238,70.3,70.32,58,6889,484426.8438
2017-01-17 10:13:00,70.32,70.37,70.32,70.3522,57,11956,841052.1875
2017-01-17 10:14:00,70.36,70.375,70.3599,70.37,48,7755,545698.5
2017-01-17 10:15:00,70.38,70.38,70.3529,70.36,48,10722,754495.75
2017-01-17 10:16:00,70.36,70.39,70.3562,70.39,37,4217,296747.6875
2017-01-17 10:17:00,70.4,70.42,70.39,70.405,63,8926,628387.8125
2017-01-17 10:18:00,70.4,70.425,70.395,70.4,53,8458,595541.875
2017-01-17 10:19:00,70.4,70.4,70.39,70.39,54,6400,450504
2017-01-17 10:20:00,70.39,70.39,70.35,70.35,317,49798,3504478.5
2017-01-17 10:21:00,70.36,70.3833,70.36,70.375,81,12854,904567.75
2017-01-17 10:22:00,70.38,70.38,70.365,70.37,81,12934,910264
2017-01-17 10:23:00,70.37,70.39,70.35,70.355,131,16124,1134529.75
2017-01-17 10:24:00,70.35,70.3567,70.3295,70.34,174,24406,1716707.25
2017-01-17 10:25:00,70.34,70.35,70.34,70.34,101,15750,1107862.5
2017-01-17 10:26:00,70.35,70.36,70.34,70.34,40,4851,341268.3438
2017-01-17 10:27:00,70.34,70.34,70.3,70.31,110,17711,1245382.375
2017-01-17 10:28:00,70.31,70.32,70.3,70.32,49,5909,415426.8438
2017-01-17 10:29:00,70.32,70.33,70.3044,70.305,181,34036,2393359
2017-01-17 10:30:00,70.31,70.329,70.303,70.32,90,14603,1026847.375
2017-01-17 10:31:00,70.32,70.37,70.315,70.3543,111,21450,1508912.25
2017-01-17 10:32:00,70.35,70.35,70.33,70.3393,71,9576,673568.25
2017-01-17 10:33:00,70.34,70.34,70.3,70.3,86,11362,798827.0625
2017-01-17 10:34:00,70.3,70.32,70.3,70.315,56,7524,529011.875
2017-01-17 10:35:00,70.315,70.315,70.3,70.3,32,4058,285311.3125
2017-01-17 10:36:00,70.3,70.32,70.295,70.32,135,21600,1518515.875
2017-01-17 10:37:00,70.32,70.34,70.31,70.33,52,5495,386426.5313
2017-01-17 10:38:00,70.33,70.345,70.33,70.34,8,800,56269.4961
2017-01-17 10:39:00,70.35,70.38,70.35,70.37,49,7566,532371.125
2017-01-17 10:40:00,70.38,70.39,70.37,70.37,80,9679,681235.625
2017-01-17 10:41:00,70.37,70.37,70.345,70.345,61,12605,886842.9375
2017-01-17 10:42:00,70.35,70.4,70.35,70.38,116,22652,1594359.5
2017-01-17 10:43:00,70.38,70.4,70.38,70.38,45,7300,513807.9688
2017-01-17 10:44:00,70.38,70.3952,70.38,70.39,104,16000,1126245
2017-01-17 10:45:00,70.38,70.405,70.37,70.3934,79,12396,872597.75
2017-01-17 10:46:00,70.39,70.39,70.37,70.37,41,5606,394582.9063
2017-01-17 10:47:00,70.36,70.38,70.35,70.38,65,9470,666325.25
2017-01-17 10:48:00,70.375,70.41,70.375,70.41,141,21568,1518436.5
2017-01-17 10:49:00,70.41,70.439,70.4001,70.42,148,25555,1799755.625
2017-01-17 10:50:00,70.402,70.41,70.4,70.4,25,5530,389363.0313
2017-01-17 10:51:00,70.41,70.4253,70.4,70.42,29,4450,313319.5938
2017-01-17 10:52:00,70.43,70.44,70.41,70.42,63,8400,591552.125
2017-01-17 10:53:00,70.4295,70.43,70.4136,70.43,88,9722,684646.1875
2017-01-17 10:54:00,70.43,70.44,70.43,70.44,23,4231,297997.4375
2017-01-17 10:55:00,70.44,70.45,70.44,70.45,59,9340,657963.125
2017-01-17 10:56:00,70.44,70.445,70.435,70.445,32,3711,261403.8438
2017-01-17 10:57:00,70.44,70.45,70.425,70.45,200,31346,2207766.75
2017-01-17 10:58:00,70.44,70.44,70.4166,70.42,20,3282,231127.9219
2017-01-17 10:59:00,70.415,70.44,70.415,70.43,61,12281,864987
2017-01-17 11:00:00,70.45,70.4501,70.42,70.42,30,5665,399054.1563
2017-01-17 11:01:00,70.4199,70.43,70.3916,70.43,50,7294,513556.8438
2017-01-17 11:02:00,70.43,70.45,70.43,70.45,70,12184,858242.625
2017-01-17 11:03:00,70.44,70.44,70.42,70.42,55,11364,800361.3125
2017-01-17 11:04:00,70.4293,70.43,70.395,70.4013,57,8129,572350.75
2017-01-17 11:05:00,70.41,70.43,70.41,70.43,83,12870,906310.25
2017-01-17 11:06:00,70.425,70.425,70.4,70.41,102,18401,1295634.75
2017-01-17 11:07:00,70.4,70.41,70.39,70.41,73,13698,964224.75
2017-01-17 11:08:00,70.4076,70.42,70.4034,70.41,42,6281,442251.625
2017-01-17 11:09:00,70.41,70.42,70.41,70.41,37,4310,303494.125
2017-01-17 11:10:00,70.4039,70.4039,70.3899,70.3899,24,3332,234559.2969
2017-01-17 11:11:00,70.385,70.385,70.37,70.38,47,7839,551705.75
2017-01-17 11:12:00,70.3825,70.3825,70.36,70.36,21,3264,229708.6875
2017-01-17 11:13:00,70.365,70.37,70.34,70.34,61,8298,583733.5625
2017-01-17 11:14:00,70.34,70.355,70.34,70.35,72,11642,819015.1875
2017-01-17 11:15:00,70.35,70.35,70.34,70.34,53,8116,570954.625
2017-01-17 11:16:00,70.34,70.35,70.32,70.345,44,4716,331730.5938
2017-01-17 11:17:00,70.35,70.37,70.35,70.35,32,7764,546252.8125
2017-01-17 11:18:00,70.36,70.37,70.335,70.345,70,8730,614177.5
2017-01-17 11:19:00,70.3439,70.37,70.3439,70.365,20,2450,172369.3125
2017-01-17 11:20:00,70.37,70.38,70.37,70.38,20,3477,244692.625
2017-01-17 11:21:00,70.38,70.39,70.38,70.38,60,14043,988359.8125
2017-01-17 11:22:00,70.37,70.4,70.37,70.4,38,4000,281519.5313
2017-01-17 11:23:00,70.41,70.425,70.41,70.425,16,2703,190326.2031
2017-01-17 11:24:00,70.43,70.44,70.41,70.42,65,13268,934430.9375
2017-01-17 11:25:00,70.42,70.45,70.42,70.44,39,6932,488264.625
2017-01-17 11:26:00,70.435,70.44,70.39,70.4,42,5500,387293.7813
2017-01-17 11:27:00,70.395,70.42,70.395,70.41,24,5816,409486.5938
2017-01-17 11:28:00,70.42,70.42,70.4,70.4,76,15114,1064059.625
2017-01-17 11:29:00,70.4,70.43,70.3964,70.41,53,10867,765139.0625
2017-01-17 11:30:00,70.4,70.4144,70.39,70.41,30,4096,288376.0938
2017-01-17 11:31:00,70.42,70.43,70.41,70.42,35,4300,302807
2017-01-17 11:32:00,70.42,70.42,70.4,70.4061,31,6348,446954.1875
2017-01-17 11:33:00,70.4,70.42,70.3963,70.4,41,10882,766196.625
2017-01-17 11:34:00,70.3928,70.4278,70.3928,70.41,38,5923,417073.25
2017-01-17 11:35:00,70.41,70.41,70.39,70.395,41,4900,344949.5
2017-01-17 11:36:00,70.395,70.42,70.3938,70.42,53,10761,757665.25
2017-01-17 11:37:00,70.42,70.4301,70.42,70.43,17,4035,284178.5938
2017-01-17 11:38:00,70.43,70.44,70.42,70.43,88,14564,1025739.0625
2017-01-17 11:39:00,70.43,70.44,70.43,70.43,76,16145,1137147.125
2017-01-17 11:40:00,70.43,70.44,70.42,70.43,132,35692,2513842.25
2017-01-17 11:41:00,70.43,70.43,70.42,70.423,71,9928,699208.875
2017-01-17 11:42:00,70.42,70.42,70.4,70.42,54,8921,628137.125
2017-01-17 11:43:00,70.42,70.43,70.41,70.42,42,5080,357745.9063
2017-01-17 11:44:00,70.425,70.45,70.4201,70.45,32,8857,623855.8125
2017-01-17 11:45:00,70.45,70.45,70.43,70.43,44,5342,376313
2017-01-17 11:46:00,70.43,70.43,70.42,70.43,73,17100,1204235.5
2017-01-17 11:47:00,70.43,70.46,70.43,70.46,58,7984,562489.625
2017-01-17 11:48:00,70.47,70.4799,70.47,70.47,25,5983,421637.4063
2017-01-17 11:49:00,70.47,70.47,70.4511,70.4569,28,6293,443410.5313
2017-01-17 11:50:00,70.45,70.45,70.445,70.45,24,3232,227692.7344
2017-01-17 11:51:00,70.45,70.49,70.45,70.48,47,6866,483879.0625
2017-01-17 11:52:00,70.4833,70.4835,70.475,70.4835,20,3500,246680.9063
2017-01-17 11:53:00,70.48,70.48,70.47,70.47,65,10266,723527.125
2017-01-17 11:54:00,70.47,70.485,70.461,70.4816,21,5871,413764.5
2017-01-17 11:55:00,70.48,70.488,70.48,70.48,23,2809,197979.3594
2017-01-17 11:56:00,70.48,70.49,70.47,70.47,22,3800,267847
2017-01-17 11:57:00,70.48,70.49,70.48,70.48,19,2420,170566.1094
2017-01-17 11:58:00,70.4862,70.4862,70.485,70.485,2,292,20581.7637
2017-01-17 11:59:00,70.49,70.49,70.47,70.47,23,3919,276221.2813
2017-01-17 12:00:00,70.47,70.47,70.46,70.46,18,1900,133892
2017-01-17 12:01:00,70.45,70.45,70.41,70.41,56,8360,588777
2017-01-17 12:02:00,70.41,70.43,70.41,70.4199,86,14331,1009124.625
2017-01-17 12:03:00,70.42,70.4383,70.42,70.43,47,8723,614351.0625
2017-01-17 12:04:00,70.43,70.44,70.43,70.44,36,4973,350267.4688
2017-01-17 12:05:00,70.43,70.4338,70.43,70.43,10,1048,73811.0469
2017-01-17 12:06:00,70.42,70.435,70.42,70.43,24,3322,233960.25
2017-01-17 12:07:00,70.42,70.42,70.41,70.42,28,3434,241821.2813
2017-01-17 12:08:00,70.41,70.4163,70.4043,70.4043,33,5011,352824.875
2017-01-17 12:09:00,70.4001,70.408,70.39,70.39,17,2100,147839.8438
2017-01-17 12:10:00,70.3938,70.4,70.38,70.395,43,6372,448530.6875
2017-01-17 12:11:00,70.4,70.4,70.38,70.38,49,6781,477328.625
2017-01-17 12:12:00,70.38,70.38,70.36,70.38,59,7034,494964.5625
2017-01-17 12:13:00,70.38,70.39,70.38,70.3843,58,10810,760833.375
2017-01-17 12:14:00,70.3832,70.3901,70.38,70.39,27,3200,225235.3594
2017-01-17 12:15:00,70.39,70.3962,70.39,70.3962,29,3976,279873.6563
2017-01-17 12:16:00,70.39,70.39,70.375,70.38,46,6880,484219.875
2017-01-17 12:17:00,70.38,70.392,70.38,70.38,29,4713,331742.2813
2017-01-17 12:18:00,70.37,70.3763,70.365,70.37,20,2541,178812.2188
2017-01-17 12:19:00,70.38,70.3999,70.38,70.395,17,2150,151326
2017-01-17 12:20:00,70.4,70.4,70.39,70.392,21,2700,190075.5156
2017-01-17 12:21:00,70.39,70.4,70.39,70.4,22,2200,154863
2017-01-17 12:22:00,70.4,70.42,70.4,70.4099,30,3395,239041.5313
2017-01-17 12:23:00,70.4,70.405,70.38,70.38,45,6973,490873.7188
2017-01-17 12:24:00,70.3828,70.3828,70.36,70.38,68,7517,528972.1875
2017-01-17 12:25:00,70.38,70.4,70.38,70.4,39,7015,493829.125
2017-01-17 12:26:00,70.39,70.4,70.39,70.4,61,18454,1299091
2017-01-17 12:27:00,70.4,70.43,70.4,70.43,62,18573,1308057.625
2017-01-17 12:28:00,70.425,70.44,70.425,70.44,21,3700,260590
2017-01-17 12:29:00,70.44,70.45,70.41,70.41,64,7837,551979.5625
2017-01-17 12:30:00,70.42,70.44,70.42,70.44,54,7070,497951.75
2017-01-17 12:31:00,70.434,70.45,70.42,70.4301,33,7094,499668.375
2017-01-17 12:32:00,70.43,70.43,70.415,70.42,22,2800,197181.7031
2017-01-17 12:33:00,70.43,70.4353,70.4272,70.4353,15,2639,185862.7188
2017-01-17 12:34:00,70.44,70.4553,70.423,70.4553,77,13523,952499.25
2017-01-17 12:35:00,70.45,70.465,70.45,70.46,30,4266,300582.1563
2017-01-17 12:36:00,70.45,70.4557,70.45,70.4557,7,1454,102439.6406
2017-01-17 12:37:00,70.46,70.46,70.45,70.45,21,2803,197495.375
2017-01-17 12:38:00,70.44,70.44,70.43,70.438,20,4924,346838.875
2017-01-17 12:39:00,70.43,70.43,70.41,70.41,60,10468,737170.375
2017-01-17 12:40:00,70.41,70.42,70.41,70.41,34,5275,371453.6563
2017-01-17 12:41:00,70.41,70.43,70.41,70.4273,23,5224,367844.0938
2017-01-17 12:42:00,70.43,70.46,70.43,70.45,44,8338,587370
2017-01-17 12:43:00,70.45,70.46,70.45,70.46,18,2047,144213.2813
2017-01-17 12:44:00,70.47,70.48,70.47,70.48,15,34434,2426896.5
2017-01-17 12:45:00,70.47,70.47,70.46,70.47,45,6340,446739.4063
2017-01-17 12:46:00,70.47,70.47,70.45,70.45,21,2913,205253.5625
2017-01-17 12:47:00,70.45,70.45,70.43,70.43,61,8903,627100.25
2017-01-17 12:48:00,70.43,70.45,70.43,70.45,13,2843,200238.5
2017-01-17 12:49:00,70.45,70.4786,70.45,70.4786,81,18084,1274344.375
2017-01-17 12:50:00,70.48,70.485,70.47,70.47,231,42316,2982383.25
2017-01-17 12:51:00,70.47,70.49,70.47,70.49,24,3712,261613.6563
2017-01-17 12:52:00,70.49,70.51,70.49,70.5,27,4117,290251.75
2017-01-17 12:53:00,70.5,70.5057,70.5,70.5057,16,2813,198326.4063
2017-01-17 12:54:00,70.5056,70.51,70.5,70.505,52,8986,633577.375
2017-01-17 12:55:00,70.5,70.505,70.46,70.46,95,20906,1473337.625
2017-01-17 12:56:00,70.47,70.47,70.46,70.46,14,2125,149733.75
2017-01-17 12:57:00,70.46,70.4635,70.455,70.455,15,1882,132607.0469
