"datetime","open","high","low","close","numEvents","volume","value"
2017-01-13 09:31:00,83.7,83.8,83.7,83.7714,44,54191,4536469
2017-01-13 09:32:00,83.77,83.8,83.71,83.76,155,39358,3296601.5
2017-01-13 09:33:00,83.79,83.86,83.78,83.8411,64,9381,786281.3125
2017-01-13 09:34:00,83.84,83.89,83.84,83.88,71,10634,891914.6875
2017-01-13 09:35:00,83.88,83.905,83.85,83.89,98,18021,1511685.625
2017-01-13 09:36:00,83.89,83.92,83.875,83.91,113,16020,1344170.625
2017-01-13 09:37:00,83.9,83.9,83.85,83.85,55,7729,648189.75
2017-01-13 09:38:00,83.84,83.87,83.84,83.87,75,11393,955322.1875
2017-01-13 09:39:00,83.87,83.9,83.855,83.865,57,8705,730084.875
2017-01-13 09:40:00,83.86,83.865,83.83,83.85,75,14420,1209008.5
2017-01-13 09:41:00,83.85,83.93,83.85,83.91,171,21332,1789503.75
2017-01-13 09:42:00,83.91,83.915,83.89,83.9,59,7233,606875.6875
2017-01-13 09:43:00,83.87,83.89,83.8601,83.88,149,23686,1986683.25
2017-01-13 09:44:00,83.88,83.89,83.865,83.865,205,24495,2054565
2017-01-13 09:45:00,83.86,83.87,83.82,83.87,45,5705,478300.6563
2017-01-13 09:46:00,83.88,83.91,83.88,83.89,39,4222,354193.375
2017-01-13 09:47:00,83.88,83.89,83.85,83.85,38,145014,12160937
2017-01-13 09:48:00,83.87,83.87,83.825,83.83,16,1744,146236.6563
2017-01-13 09:49:00,83.84,83.84,83.81,83.8301,35,5101,427629.4688
2017-01-13 09:50:00,83.82,83.84,83.82,83.84,17,2284,191468.75
2017-01-13 09:51:00,83.86,83.86,83.84,83.84,17,1900,159305
2017-01-13 09:52:00,83.859,83.86,83.84,83.84,44,5400,452799.6875
2017-01-13 09:53:00,83.85,83.87,83.85,83.86,15,1500,125789
2017-01-13 09:54:00,83.87,83.9,83.87,83.88,25,2796,234545.9375
2017-01-13 09:55:00,83.87,83.87,83.83,83.84,36,6622,555177.9375
2017-01-13 09:56:00,83.84,83.86,83.83,83.83,68,9800,821663.5
2017-01-13 09:57:00,83.82,83.87,83.82,83.82,65,7624,639233
2017-01-13 09:58:00,83.82,83.87,83.82,83.87,75,8996,754197.75
2017-01-13 09:59:00,83.88,83.91,83.88,83.8969,20,2578,216295.5938
2017-01-13 10:00:00,83.9,83.905,83.87,83.9,114,13333,1118588.5
2017-01-13 10:01:00,83.9,83.91,83.86,83.86,87,10459,877373.5
2017-01-13 10:02:00,83.86,83.88,83.84,83.87,76,9596,804781.375
2017-01-13 10:03:00,83.87,83.89,83.87,83.885,27,2807,235454.6875
2017-01-13 10:04:00,83.9,83.93,83.9,83.93,52,7770,652038.6875
2017-01-13 10:05:00,83.92,83.9237,83.85,83.89,96,17381,1457921.125
2017-01-13 10:06:00,83.9,83.91,83.87,83.87,27,4018,337101
2017-01-13 10:07:00,83.86,83.88,83.84,83.87,45,6482,543608.375
2017-01-13 10:08:00,83.87,83.88,83.85,83.86,75,9300,779971
2017-01-13 10:09:00,83.87,83.87,83.86,83.86,11,1800,150952
2017-01-13 10:10:00,83.87,83.87,83.85,83.85,31,3776,316671.125
2017-01-13 10:11:00,83.875,83.89,83.87,83.88,11,1434,120286.1563
2017-01-13 10:12:00,83.89,83.9158,83.89,83.9158,21,2270,190470.6875
2017-01-13 10:13:00,83.92,83.93,83.9,83.9,40,4804,403142.625
2017-01-13 10:14:00,83.9063,83.91,83.8861,83.89,35,5040,422854.5938
2017-01-13 10:15:00,83.88,83.88,83.84,83.8532,45,6440,540036.1875
2017-01-13 10:16:00,83.86,83.88,83.86,83.87,14,1465,122869.5469
2017-01-13 10:17:00,83.8858,83.8858,83.87,83.88,53,8224,689824.8125
