"datetime","open","high","low","close","numEvents","volume","value"
2017-01-12 09:31:00,32.56,32.56,32.5,32.56,198,53762,1749657.625
2017-01-12 09:32:00,32.58,32.66,32.54,32.66,116,18213,594131.5625
2017-01-12 09:33:00,32.65,32.67,32.53,32.54,139,21368,696702.5625
2017-01-12 09:34:00,32.53,32.59,32.5,32.59,52,12520,407117.125
2017-01-12 09:35:00,32.52,32.59,32.52,32.59,30,6300,204950.5
2017-01-12 09:36:00,32.55,32.55,32.5,32.53,46,10415,338697.0938
2017-01-12 09:37:00,32.52,32.54,32.5,32.53,41,4300,139828
2017-01-12 09:38:00,32.52,32.58,32.5175,32.56,39,5119,166640.8906
2017-01-12 09:39:00,32.58,32.6,32.5,32.51,156,19360,629602.4375
2017-01-12 09:40:00,32.51,32.51,32.38,32.42,178,32950,1068344.375
2017-01-12 09:41:00,32.42,32.47,32.37,32.38,166,27031,876267.875
2017-01-12 09:42:00,32.37,32.46,32.36,32.43,175,21640,701391.1875
2017-01-12 09:43:00,32.42,32.43,32.37,32.4,76,8900,288355.625
2017-01-12 09:44:00,32.4,32.41,32.33,32.36,134,19200,621551.3125
2017-01-12 09:45:00,32.36,32.4,32.36,32.39,203,26440,856374.4375
2017-01-12 09:46:00,32.39,32.43,32.37,32.41,157,25402,823125.8125
2017-01-12 09:47:00,32.41,32.45,32.37,32.37,85,9900,320912
2017-01-12 09:48:00,32.36,32.4,32.34,32.4,52,5300,171554.5
2017-01-12 09:49:00,32.4,32.44,32.4,32.42,56,6396,207378.2969
2017-01-12 09:50:00,32.43,32.46,32.43,32.44,42,4833,156796.5938
2017-01-12 09:51:00,32.45,32.48,32.41,32.41,82,10300,334263
2017-01-12 09:52:00,32.41,32.52,32.41,32.52,462,214326,6965325
2017-01-12 09:53:00,32.52,32.68,32.515,32.65,809,199212,6494075.5
2017-01-12 09:54:00,32.65,32.65,32.59,32.6,52,11300,368485.5
2017-01-12 09:55:00,32.63,32.69,32.63,32.65,140,31778,1037559.625
2017-01-12 09:56:00,32.63,32.63,32.59,32.59,59,8400,274035.5
2017-01-12 09:57:00,32.58,32.59,32.52,32.54,103,12119,394519
2017-01-12 09:58:00,32.53,32.59,32.52,32.55,92,20300,661173.625
2017-01-12 09:59:00,32.54,32.61,32.54,32.61,42,5900,192202
2017-01-12 10:00:00,32.62,32.66,32.62,32.62,136,16930,552561.25
2017-01-12 10:01:00,32.62,32.62,32.58,32.58,58,6454,210362.5781
2017-01-12 10:02:00,32.57,32.58,32.53,32.54,416,69300,2255272
2017-01-12 10:03:00,32.53,32.6,32.52,32.53,262,55100,1794316.5
2017-01-12 10:04:00,32.51,32.54,32.51,32.53,87,11630,378281.3125
2017-01-12 10:05:00,32.53,32.53,32.44,32.45,59,6400,207921.5156
2017-01-12 10:06:00,32.46,32.48,32.4,32.42,141,26700,865787.5
2017-01-12 10:07:00,32.42,32.44,32.4,32.41,50,9522,308708.4375
2017-01-12 10:08:00,32.42,32.44,32.39,32.41,214,31042,1006028.25
2017-01-12 10:09:00,32.41,32.415,32.35,32.35,55,7300,236437.5781
2017-01-12 10:10:00,32.34,32.345,32.29,32.3,63,11623,375571.5938
2017-01-12 10:11:00,32.29,32.32,32.29,32.3,34,3700,119523.75
2017-01-12 10:12:00,32.29,32.29,32.25,32.25,62,7900,254927.5
2017-01-12 10:13:00,32.24,32.28,32.22,32.28,47,5200,167660.5
2017-01-12 10:14:00,32.283,32.283,32.245,32.28,80,15500,500162.4063
2017-01-12 10:15:00,32.28,32.31,32.2643,32.2643,50,12105,390796.7188
2017-01-12 10:16:00,32.27,32.28,32.25,32.25,23,2455,79218.875
2017-01-12 10:17:00,32.25,32.26,32.24,32.26,43,5200,167701.25
2017-01-12 10:18:00,32.25,32.25,32.22,32.24,31,4385,141370.2656
2017-01-12 10:19:00,32.22,32.22,32.19,32.19,17,5411,174234.4531
2017-01-12 10:20:00,32.2,32.24,32.2,32.21,94,28043,903484.4375
2017-01-12 10:21:00,32.22,32.225,32.17,32.17,488,85600,2756607
2017-01-12 10:22:00,32.17,32.17,32.11,32.12,321,109845,3529455
2017-01-12 10:23:00,32.11,32.115,32.08,32.11,454,142898,4587274
2017-01-12 10:24:00,32.12,32.14,32.12,32.14,53,8700,279583.5
2017-01-12 10:25:00,32.14,32.15,32.13,32.15,206,59508,1912554.125
2017-01-12 10:26:00,32.15,32.2,32.15,32.19,38,5100,164117.5
2017-01-12 10:27:00,32.2,32.25,32.2,32.25,109,13140,423288.4063
2017-01-12 10:28:00,32.25,32.259,32.18,32.2,84,18700,602885.5
2017-01-12 10:29:00,32.195,32.24,32.195,32.2,99,18700,602261.5
2017-01-12 10:30:00,32.2,32.22,32.195,32.21,21,2100,67630.5
2017-01-12 10:31:00,32.22,32.25,32.21,32.21,34,4560,146971.0781
2017-01-12 10:32:00,32.21,32.23,32.19,32.19,37,4400,141724.5
2017-01-12 10:33:00,32.19,32.19,32.18,32.18,13,1300,41845.9961
2017-01-12 10:34:00,32.18,32.22,32.17,32.22,308,88700,2856067
2017-01-12 10:35:00,32.22,32.23,32.21,32.22,416,90645,2920150.25
2017-01-12 10:36:00,32.22,32.22,32.16,32.16,500,163829,5276567.5
2017-01-12 10:37:00,32.16,32.165,32.11,32.13,199,60281,1937653.25
2017-01-12 10:38:00,32.1201,32.1201,32.07,32.07,114,17908,574634.3125
2017-01-12 10:39:00,32.07,32.1,32.05,32.05,59,9634,308999.1875
2017-01-12 10:40:00,32.05,32.08,32.045,32.05,57,10319,330904.7813
2017-01-12 10:41:00,32.05,32.07,32.04,32.07,37,3800,121821
2017-01-12 10:42:00,32.07,32.11,32.02,32.1033,89,9750,312696
2017-01-12 10:43:00,32.11,32.12,32.09,32.1064,50,5907,189657.2813
2017-01-12 10:44:00,32.105,32.155,32.105,32.155,60,6378,204892.5625
2017-01-12 10:45:00,32.16,32.19,32.155,32.18,89,10362,333353.7188
2017-01-12 10:46:00,32.19,32.21,32.18,32.185,67,8200,264034
2017-01-12 10:47:00,32.18,32.23,32.165,32.23,150,21408,689181.875
2017-01-12 10:48:00,32.23,32.26,32.2275,32.245,107,14160,456634.1875
2017-01-12 10:49:00,32.25,32.29,32.25,32.285,62,6309,203585.4375
2017-01-12 10:50:00,32.28,32.28,32.205,32.205,138,53276,1717237.5
2017-01-12 10:51:00,32.21,32.21,32.185,32.205,47,5755,185295.25
